,BLOCKID10,CE01_2014,POP10,lat,long,community
4,170313902002004,6,68,41.815784,-87.6015047,KENWOOD
4,170313902002005,4,50,41.815809,-87.6009251,KENWOOD
4,170313903002006,6,43,41.8159018,-87.6063027,KENWOOD
4,170313903002004,89,161,41.8159234,-87.6050559,KENWOOD
4,170313903002002,0,1,41.8159434,-87.6036271,KENWOOD
4,170313903002000,27,62,41.8159575,-87.60220679999998,KENWOOD
4,170313902002001,6,64,41.815979,-87.6003193,KENWOOD
4,170313902002000,2,69,41.815982,-87.599703,KENWOOD
4,170313903002001,-1,0,41.81619420000001,-87.6028853,KENWOOD
4,170313903002005,-1,0,41.816222,-87.60577579999998,KENWOOD
4,170313902002002,-1,0,41.8167039,-87.6009114,KENWOOD
4,170313902002003,-1,0,41.8167128,-87.6015558,KENWOOD
4,170313907002007,14,170,41.8051524,-87.59123120000002,KENWOOD
4,170313907001013,-1,0,41.8051672,-87.5833254,KENWOOD
4,170313907001017,14,157,41.8052011,-87.5850684,KENWOOD
4,170313907001012,-1,0,41.8052737,-87.58289549999998,KENWOOD
4,170313907001018,-1,0,41.8054102,-87.5843897,KENWOOD
4,170313907002005,-1,0,41.805846,-87.589639,KENWOOD
4,170313907001008,150,856,41.80660870000001,-87.5866949,KENWOOD
4,170313907002003,5,47,41.8066579,-87.5914109,KENWOOD
4,170313907002004,32,463,41.806799100000006,-87.590355,KENWOOD
4,170313907001015,0,2,41.8068243,-87.5859566,KENWOOD
4,170313907001009,-1,0,41.806876,-87.5860459,KENWOOD
4,170313905001004,8,84,41.8069011,-87.5980012,KENWOOD
4,170313906002000,6,70,41.8069227,-87.59597459999998,KENWOOD
4,170313906001006,7,82,41.80693660000001,-87.5943517,KENWOOD
4,170313906001005,47,156,41.8069591,-87.5927454,KENWOOD
4,170313907001010,-1,0,41.8070274,-87.5858374,KENWOOD
4,170313907001011,-1,0,41.8072005,-87.5854811,KENWOOD
4,170313907002002,27,462,41.8076434,-87.5911558,KENWOOD
4,170313905001005,1,17,41.8079741,-87.59719059999998,KENWOOD
4,170313906001003,2,26,41.8081495,-87.5935098,KENWOOD
4,170313906001002,7,31,41.8082855,-87.5929227,KENWOOD
4,170313906001004,-1,0,41.8083232,-87.5922971,KENWOOD
4,170313907001004,3,29,41.8083292,-87.58980859999998,KENWOOD
4,170313907002001,8,45,41.8083442,-87.5914474,KENWOOD
4,170313907001005,-1,0,41.80836729999999,-87.5907567,KENWOOD
4,170313907001003,-1,0,41.8084863,-87.58845040000001,KENWOOD
4,170313906001001,-1,0,41.8087217,-87.5928222,KENWOOD
4,170313905001000,34,423,41.8087678,-87.59808509999998,KENWOOD
4,170313906001000,60,517,41.80884260000001,-87.5947506,KENWOOD
4,170313907002000,-1,0,41.8090541,-87.59191750000002,KENWOOD
4,170313907001001,-1,0,41.809318,-87.5877722,KENWOOD
4,170313907001000,-1,0,41.80967929999999,-87.5871027,KENWOOD
4,170313907001002,-1,0,41.8100348,-87.5889797,KENWOOD
4,170313901001017,3,97,41.8101607,-87.59470429999998,KENWOOD
4,170313902001006,5,158,41.8105396,-87.59807020000002,KENWOOD
4,170313901001016,10,51,41.810761600000006,-87.59553000000002,KENWOOD
4,170313901001014,1,63,41.8111662,-87.5955217,KENWOOD
4,170313901001018,-1,0,41.8115514,-87.59013879999998,KENWOOD
4,170313902001004,11,39,41.81186320000001,-87.5981001,KENWOOD
4,170313901001008,75,458,41.8120015,-87.5935554,KENWOOD
4,170313901001013,11,255,41.8121,-87.59618359999997,KENWOOD
4,170313901001009,-1,0,41.8122195,-87.5930459,KENWOOD
4,170313901001015,4,61,41.8123651,-87.59510279999998,KENWOOD
4,170313902001003,33,242,41.8124238,-87.5981014,KENWOOD
4,170313901001010,-1,0,41.81251500000001,-87.5922173,KENWOOD
4,170313901001011,-1,0,41.8128598,-87.5910167,KENWOOD
4,170313901001007,11,105,41.8132402,-87.5952563,KENWOOD
4,170313901001012,-1,0,41.81355410000001,-87.5905445,KENWOOD
4,170313902001002,9,45,41.8139375,-87.5975421,KENWOOD
4,170313902001005,63,265,41.8139415,-87.5989567,KENWOOD
4,170313902001001,5,38,41.8139529,-87.59835190000003,KENWOOD
4,170313902001000,12,220,41.8155394,-87.5986405,KENWOOD
4,170313901001006,12,68,41.81558820000001,-87.5975828,KENWOOD
4,170313901001005,8,67,41.8156982,-87.5969449,KENWOOD
4,170313901001004,3,43,41.8158364,-87.59613590000002,KENWOOD
4,170313901001003,-1,0,41.8159964,-87.5951278,KENWOOD
4,170313901001002,-1,0,41.8161221,-87.5944614,KENWOOD
4,170313901001001,-1,0,41.8162658,-87.593202,KENWOOD
4,170313902002013,2,32,41.8108314,-87.60128399999998,KENWOOD
4,170313902002011,2,36,41.8108476,-87.59972490000001,KENWOOD
4,170313902002012,5,100,41.8108482,-87.60052259999998,KENWOOD
4,170313903002017,28,363,41.8109081,-87.60294429999998,KENWOOD
4,170313903002018,13,75,41.8122019,-87.60228790000002,KENWOOD
4,170313903002016,2,73,41.8122692,-87.6062375,KENWOOD
4,170313903002014,41,526,41.8122779,-87.6051344,KENWOOD
4,170313903002007,-1,0,41.8122929,-87.604192,KENWOOD
4,170313903002008,23,298,41.8122968,-87.6034505,KENWOOD
4,170313902002010,6,154,41.8123335,-87.60054179999999,KENWOOD
4,170313903002019,-1,0,41.8128676,-87.60271709999998,KENWOOD
4,170313903002015,-1,0,41.8134288,-87.6056583,KENWOOD
4,170313903002013,-1,0,41.8140911,-87.6063466,KENWOOD
4,170313903002009,-1,0,41.8141285,-87.6028985,KENWOOD
4,170313902002006,0,47,41.8141391,-87.6014273,KENWOOD
