geoid10,POP10,long,lat
170315401014011,0,-87.59584,41.65418
170315305033056,0,-87.63135,41.65769
170317403001009,0,-87.72034,41.69395
170317403001018,47,-87.71673,41.69245
170317404004001,37,-87.70906,41.6839
170317504003009,14,-87.68508,41.68334
170318214021037,79,-87.64575,41.66526
170318212004000,0,-87.66834,41.67637
170315502002110,0,-87.57225,41.6449
170315502002117,0,-87.56329,41.64822
170315502002084,0,-87.57503,41.65089
170315401013010,369,-87.60355,41.65362
170315401011003,93,-87.60554,41.65403
170315401023008,26,-87.60815,41.6531
170315401021053,712,-87.61432,41.65759
170315306001032,0,-87.61998,41.66164
170315305021045,0,-87.62798,41.65978
170315502002113,0,-87.54372,41.64608
170317404001021,34,-87.70531,41.68944
170317504001012,48,-87.69028,41.68902
170317504001011,24,-87.69032,41.69082
170317504002027,10,-87.68379,41.67751
170317404003014,70,-87.72146,41.68412
170315401011027,0,-87.60826,41.65063
170315401011007,7,-87.61136,41.65113
170318215001069,39,-87.61836,41.64736
170315401012016,0,-87.61934,41.65072
170318215001018,0,-87.63437,41.65696
170317502004000,57,-87.67285,41.6937
170317205002030,55,-87.68367,41.70181
170317204002000,180,-87.68732,41.71088
170317004014016,14,-87.70647,41.74266
170316504003008,70,-87.7147,41.76307
170316504003007,74,-87.71532,41.76306
170316505001015,18,-87.7243,41.76748
170316505002024,54,-87.73195,41.76854
170317004011050,0,-87.712,41.74299
170316407002006,93,-87.74773,41.77542
170316408002014,72,-87.7381,41.77211
170316405002013,35,-87.7993,41.77536
170316715002013,74,-87.67478,41.76593
170316607001013,0,-87.67895,41.77289
170316719001033,39,-87.66128,41.76062
170316720001006,35,-87.6647,41.76376
170316720001015,32,-87.66651,41.76374
170316720002003,80,-87.66772,41.76372
170316720002006,47,-87.66955,41.76371
170316720003000,22,-87.67168,41.76459
170316604003006,88,-87.71164,41.78089
170316603011020,46,-87.69769,41.7793
170316501004014,40,-87.72164,41.78299
170316203002017,77,-87.72662,41.78612
170316203005006,71,-87.73063,41.78698
170316203004008,89,-87.73196,41.7904
170316203004004,39,-87.7314,41.79199
170315604001003,0,-87.74219,41.8074
170315603001027,53,-87.75139,41.80638
170315705002007,95,-87.7328,41.79765
170315705001006,0,-87.73384,41.80027
170315705002005,90,-87.73158,41.79772
170317403002015,37,-87.70617,41.69423
170317505001010,85,-87.67982,41.68928
170317204002026,3,-87.68966,41.70723
170318212004016,54,-87.67988,41.67688
170317005013023,45,-87.69224,41.74722
170317001002008,5,-87.69006,41.75242
170317005015005,39,-87.70201,41.74707
170317004011027,28,-87.7085,41.74398
170317001001012,90,-87.70868,41.75503
170316407004004,43,-87.75712,41.77679
170316406001012,94,-87.76529,41.77549
170316406002026,56,-87.76772,41.77498
170315611006011,0,-87.78042,41.78778
170315609003016,31,-87.78886,41.79341
170315609005002,0,-87.79648,41.79942
170317203003012,67,-87.67873,41.71097
170317105002000,23,-87.66649,41.7501
170317111003020,8,-87.66245,41.73605
170317112002008,22,-87.66407,41.7392
170317114001008,37,-87.66028,41.73466
170317202003024,9,-87.66972,41.71171
170317304002001,28,-87.65651,41.72008
170317304004012,74,-87.65395,41.71518
170317202002015,13,-87.66119,41.70699
170316715002003,0,-87.67268,41.76821
170317402001014,55,-87.71964,41.70499
170315502001025,0,-87.55381,41.66192
170315501006009,0,-87.54537,41.65937
170315501006011,50,-87.5435,41.65785
170315501001030,32,-87.5408,41.65638
170315501001019,0,-87.53947,41.66164
170315205003018,41,-87.53496,41.6873
170315205003022,0,-87.53227,41.68729
170315205002018,53,-87.53137,41.69274
170315205002010,43,-87.53076,41.69818
170315204001006,38,-87.52894,41.70546
170316408002002,74,-87.7388,41.77392
170316406003017,49,-87.77507,41.77575
170316405002016,59,-87.79465,41.77542
170317201002015,19,-87.68139,41.72939
170317005012022,0,-87.678,41.74403
170317005013014,31,-87.6923,41.7488
170317001001037,39,-87.70822,41.75085
170316611002008,202,-87.69834,41.759
170316504005022,82,-87.7188,41.76756
170316603023009,153,-87.6987,41.78359
170316203004007,122,-87.73135,41.7904
170315602003001,58,-87.74416,41.81034
170315705002003,115,-87.73031,41.79771
170318208003059,0,-87.77555,41.80469
170315608003010,1,-87.77296,41.79698
170318388002194,0,-87.56183,41.66765
170315301002030,24,-87.62025,41.67943
170315306001004,23,-87.61747,41.67719
170315306002000,15,-87.61834,41.67329
170315306002002,24,-87.62003,41.67305
170315305021009,50,-87.62923,41.66794
170315501002025,0,-87.53909,41.64684
170315204001001,88,-87.53137,41.7073
170315201001075,0,-87.52674,41.70582
170316505001001,20,-87.72348,41.77113
170316407001008,34,-87.74497,41.77724
170316406002027,91,-87.76773,41.77544
170316408001018,66,-87.73885,41.77574
170316404002056,0,-87.79685,41.77784
170316405002001,62,-87.79472,41.77723
170316404002042,0,-87.79983,41.78143
170317201002003,22,-87.67474,41.73304
170317201002005,24,-87.67411,41.73072
170317201002023,54,-87.67216,41.72747
170315609003009,57,-87.78958,41.79684
170317203003001,74,-87.67637,41.71283
170317203003013,66,-87.67753,41.71099
170317206001009,16,-87.68066,41.70523
170317112001017,94,-87.66506,41.74282
170317105001008,140,-87.66428,41.74761
170317111002023,0,-87.65881,41.7361
170317202003029,84,-87.67165,41.70961
170317302015019,19,-87.65722,41.72153
170317302015013,32,-87.65632,41.72244
170317304002010,57,-87.65412,41.71946
170316607002002,90,-87.6812,41.77289
170316714002011,24,-87.67666,41.77046
170316814002010,15,-87.65368,41.76051
170318388002228,0,-87.56013,41.65992
170315501003010,83,-87.54684,41.65094
170315304002002,0,-87.65588,41.67706
170315304002000,0,-87.65252,41.67677
170317506004007,0,-87.6612,41.69071
170315305032028,30,-87.64013,41.66964
170315305032055,44,-87.63607,41.66512
170317506004009,0,-87.66215,41.69033
170317403002011,31,-87.70627,41.69765
170317005012024,39,-87.68185,41.7458
170317001002034,41,-87.70095,41.75236
170317004011032,54,-87.7029,41.74858
170317001002050,4,-87.69852,41.75292
170317001002025,0,-87.70149,41.75438
170316611002011,47,-87.70115,41.75991
170316611004012,85,-87.70613,41.76319
170316611005004,74,-87.70889,41.76315
170316503014015,80,-87.72351,41.77227
170316503012001,82,-87.73087,41.77401
170319801001009,0,-87.74084,41.78639
170318352001060,0,-87.74739,41.79403
170316604002007,77,-87.70683,41.78097
170316603023003,93,-87.69935,41.78517
170315609003001,16,-87.78901,41.79925
170317206001013,31,-87.67824,41.70527
170317106002009,0,-87.66305,41.74762
170317203003032,82,-87.67397,41.70729
170317302012024,0,-87.65356,41.72157
170317302012025,0,-87.65479,41.72156
170317304004004,42,-87.65258,41.71871
170317306002023,0,-87.6517,41.71361
170317302012009,0,-87.65497,41.72953
170316607001015,77,-87.68126,41.7747
170316714002016,62,-87.67488,41.77047
170316714001003,0,-87.67767,41.77751
170316607001001,1,-87.67938,41.77736
170316814002012,50,-87.65248,41.76053
170317106002002,36,-87.66311,41.74945
170317102003001,0,-87.65085,41.75774
170315501003030,18,-87.54291,41.64843
170317403002002,40,-87.70284,41.69792
