geoid10,lat,lon,population,lower_areal_unit,access,access_cat,access_sd
17031842400,41.7424751,-87.6300402,5157.0,44.0,0.05437299054610567,7.0,0.12624137874764663
17031840300,41.83209420000001,-87.6818817,5881.0,59.0,6.5515648462811376,22.0,15.211202673279884
17031841100,41.8510057,-87.6350976,3363.0,34.0,9.284239249930016,44.0,21.555834096348548
17031841200,41.8555619,-87.6833421,3710.0,31.0,20.03426452845327,96.0,46.51488084184761
17031838200,41.8704157,-87.67507940000002,3296.0,28.0,40.35990614375275,111.0,93.7062711934627
17031650301,41.774927399999996,-87.7299913,5744.0,65.0,0.10244322287173446,8.0,0.2378492256686527
17031530503,41.6635979,-87.637412,5147.0,53.0,0.0,0.0,0.0
17031760803,41.9753463,-87.8441545,7343.0,76.0,0.0,0.0,0.0
17031540102,41.6673324,-87.60544909999999,3268.0,54.0,0.7593523753434592,8.0,1.7630387781847805
17031540101,41.650219899999996,-87.5997933,3922.0,54.0,1.0990954447641073,15.0,2.5518427978432485
17031440201,41.7482101,-87.6100747,5343.0,44.0,0.0,0.0,0.0
17031839000,41.871043799999995,-87.6314037,5898.0,32.0,0.49629229980040024,16.0,1.1522747518460754
17031030601,41.988887,-87.6549376,3538.0,77.0,11.95025281487668,36.0,27.74569462854436
17031030604,41.98591939999999,-87.6527318,2961.0,77.0,7.70256198091582,58.0,17.883549067169373
17031020801,41.9868083,-87.6944152,4512.0,2.0,13.231198308130201,53.0,30.719750746200567
17031843300,41.8637638,-87.6925502,3652.0,29.0,35.62174330967103,109.0,82.70536425607199
17031080202,41.905859299999996,-87.63089959999999,3533.0,8.0,6.453710890792422,45.0,14.984008654103553
17031070102,41.9305829,-87.6422022,2656.0,7.0,14.437432610607866,41.0,33.52034493658932
17031031501,41.9672843,-87.65244809999999,3430.0,3.0,43.070656456308136,81.0,100.0
17031031502,41.9636328,-87.6523659,4386.0,3.0,42.93532779629603,88.0,99.68579847360955
17031834900,41.772294099999996,-87.656734,3335.0,67.0,2.8854872184296343,20.0,6.699427071321142
17031834800,41.7836301,-87.6450875,5554.0,68.0,12.18405532216295,30.0,28.288529417987245
17031160502,41.9555843,-87.713088,4568.0,16.0,4.183201432951494,32.0,9.712416241426524
17031140702,41.9635485,-87.71357590000001,6252.0,14.0,13.370943380388313,39.0,31.044206149846136
17031842000,41.834960200000005,-87.62517079999999,7989.0,35.0,18.72595111469858,64.0,43.47728280783139
17031150402,41.9567979,-87.77204350000001,3695.0,15.0,2.689238061895164,18.0,6.243782387257527
17031834400,41.776944799999995,-87.59630959999998,4342.0,42.0,4.222452270199481,21.0,9.80354751379941
17031040201,41.9725805,-87.6940005,6195.0,4.0,27.52390625855186,79.0,63.90407883955227
17031040202,41.979855,-87.6940963,6691.0,4.0,20.574550556879583,53.0,47.769298751577836
17031020702,41.9952892,-87.7053885,8232.0,2.0,4.765770715890366,18.0,11.065005987835068
17031020802,41.994059,-87.6946301,7942.0,2.0,13.338849822375582,31.0,30.969692407420858
17031020301,42.0068653,-87.7051864,5239.0,2.0,1.8243388147999862,13.0,4.235688435932333
17031838700,41.8625779,-87.7201859,5504.0,29.0,11.672763805328279,61.0,27.10142998904463
17031841500,41.8616224,-87.70791290000001,5079.0,29.0,20.742883048832987,82.0,48.1601274637526
17031838600,41.8678237,-87.7008245,2361.0,29.0,21.474811255307685,83.0,49.85949373001135
17031837300,41.871618700000006,-87.7055517,4802.0,27.0,14.72069184337811,73.0,34.178006686085965
17031837800,41.884750200000006,-87.6841277,4698.0,28.0,14.440884949374178,100.0,33.528360460499
17031837400,41.8759749,-87.6938017,4542.0,27.0,12.356056113883616,94.0,28.68787506505243
17031836900,41.8818825,-87.706135,6468.0,27.0,11.853559392313528,75.0,27.521195095640234
17031020601,42.000874700000004,-87.7018025,6697.0,2.0,5.428688555315739,25.0,12.604146307411696
17031020602,42.001315600000005,-87.6936373,4102.0,2.0,6.355127938944165,29.0,14.755122075724461
17031020302,42.0085408,-87.6949637,4651.0,2.0,5.463975892002545,31.0,12.686075257630048
17031020902,41.9942499,-87.6786969,4195.0,2.0,6.663094631842354,53.0,15.470148774262475
17031010701,42.0091486,-87.6786213,3946.0,1.0,10.973962636536378,51.0,25.478976963512544
17031030103,41.995380600000004,-87.6546958,2238.0,77.0,15.382618475248368,43.0,35.71484565333442
17031030102,41.9933961,-87.6551308,2956.0,77.0,14.153699455191617,36.0,32.861582849449846
17031010502,42.0045171,-87.66332740000001,3690.0,1.0,13.946111630678464,54.0,32.37961242783871
17031010503,42.000320200000004,-87.6631272,2228.0,1.0,19.131528931262967,43.0,44.4189397267962
17031010702,42.0090199,-87.6727255,5274.0,1.0,14.052377013754258,41.0,32.626335816379566
17031837100,41.8856734,-87.6987204,2744.0,27.0,6.364489107342807,77.0,14.776856521328138
17031837000,41.8783238,-87.6986748,6052.0,27.0,10.021287759869352,70.0,23.2670885107943
17031010201,42.0160078,-87.6801489,7083.0,1.0,16.81947476395654,36.0,39.050890206464814
17031020901,41.9942356,-87.68608499999999,5013.0,2.0,9.020556716010544,43.0,20.943624867109246
17031040401,41.9720665,-87.6860812,2836.0,4.0,11.963027095454041,67.0,27.775353523087375
17031210602,41.93416679999999,-87.71257270000001,4126.0,21.0,1.699127135088879,25.0,3.94497617377277
17031160501,41.9592099,-87.7129733,4498.0,16.0,9.153147563991125,39.0,21.2514698337052
17031191302,41.9202287,-87.7705328,5088.0,19.0,2.5840331500918152,8.0,5.999521165211675
17031190602,41.9275605,-87.77073730000001,5265.0,19.0,2.9396335021918265,25.0,6.825142089890964
