lower_areal_unit,"('target', 'All Free Health Clinics')","('target', 'Federally Qualified Health Centers')","('target', 'Hospitals')","('target', 'Other Health Providers')","('target', 'School-Based Health Centers')","('coverage', 'All Free Health Clinics')","('coverage', 'Federally Qualified Health Centers')","('coverage', 'Hospitals')","('coverage', 'Other Health Providers')","('coverage', 'School-Based Health Centers')"
44,,,,,,,,,,
59,,200000.0,,,,,3.2312787785766215,,,
34,,,,170000.0,,,,,1.9966409452333134,
31,,369000.0,,,322000.0,,5.6858668466467766,,,5.048312770328777
28,339000.0,292000.0,614000.0,192000.0,583000.0,6.134580292001116,4.903671584129487,8.655338914815093,2.4581663615296963,7.720714782673861
65,,,,,,,,,,
53,,,,,,,,,,
76,,,,,,,,,,
54,,144000.0,,,192000.0,,20.027816411682892,,,48.95461499235084
32,,,,,,,,,,
77,,,183000.0,190000.0,200000.0,,,2.3414109879986693,1.794636869397663,2.03740678863942
2,295000.0,246000.0,,,,3.58622609401851,2.682624483865718,,,
29,,556000.0,346000.0,,140000.0,,5.940170667158956,3.1878529902245316,,1.2519337905872463
8,,305000.0,486000.0,,,,2.448066519622274,5.595637558065625,,
7,,101000.0,,,,,0.9169481061844065,,,
3,,753000.0,642000.0,127000.0,152000.0,,7.138355380683859,6.8948724821587435,1.1221063792189432,1.5899415278082865
67,,,,,,,,,,
68,131000.0,282000.0,195000.0,,,2.38368178757938,4.934979611847479,3.654422788605697,,
16,,,187000.0,,,,,2.045123965134464,,
14,,171000.0,,,329000.0,,1.6299685444666858,,,3.934043992510074
35,,199000.0,,345000.0,363000.0,,2.4618049112389437,,4.385134731103699,5.13406277417364
15,,134000.0,184000.0,,,,1.7408249431633647,2.390386489119844,,
42,,,126000.0,165000.0,,,,17.3053152039555,3.707115414859916,
4,,383000.0,293000.0,,124000.0,,4.288262233424279,3.137419596025714,,1.5587876654640536
27,128000.0,,102000.0,,,1.7289587076033661,,1.5385079489577362,,
1,,551000.0,,,173000.0,,7.461451765319795,,,1.8592154755507793
21,,,,,,,,,,
19,,178000.0,,,,,1.8959769074273298,,,
60,,,,,,,,,,
25,,378000.0,125000.0,,190000.0,,8.854105646974528,3.951194841320015,,3.329478148109207
22,,198000.0,,284000.0,109000.0,,1.955401054731478,,2.7305641250229478,1.057790285797467
20,,,,,,,,,,
6,,480000.0,262000.0,,110000.0,,4.029558031883223,2.7821516507983217,,1.1310821371282853
61,257000.0,538000.0,,,,5.363923846170897,10.685057151274062,,,
58,,128000.0,,,163000.0,,1.6683828417252122,,,3.192260237754842
56,,260000.0,,,,,7.77698365634015,,,
23,,708000.0,146000.0,,238000.0,,7.774333922519748,2.116616892342486,,3.898828281024177
24,155000.0,911000.0,397000.0,,171000.0,2.187041426797607,9.709383614660807,4.334614254192118,,1.6703459862855803
5,,132000.0,,,,,1.1245239941047682,,,
66,198000.0,206000.0,198000.0,,180000.0,2.52947864634567,3.2523635378549502,3.5359037091272745,,2.883922134102379
63,,103000.0,,,,,1.2505615385549336,,,
69,,,,,183000.0,,,,,3.6058402790092807
30,,859000.0,100000.0,166000.0,141000.0,,9.327347032191364,1.1511851451068875,1.6647612170808512,3.855092276144908
11,,,,,,,,,,
45,,,,,,,,,,
18,,,111000.0,,,,,2.9113990452709437,,
43,,104000.0,195000.0,,,,4.399137092339579,3.189662222949211,,
41,,151000.0,129000.0,,,,2.0383369330453562,1.9774357716598197,,
73,,174000.0,,,,,3.8816758131441573,,,
38,,157000.0,134000.0,112000.0,101000.0,,2.1303734259661313,1.4863455864409787,1.2423186991148478,1.438029472485228
40,160000.0,,,,,2.116290143378657,,,,
13,,,,,,,,,,
51,,,,,,,,,,
46,,301000.0,138000.0,,,,inf,4.54320987654321,,
49,,281000.0,181000.0,,,,7.2960281675306,4.716366573729056,,
37,,120000.0,,,,,2.123104686753596,,,
33,,193000.0,131000.0,,145000.0,,3.4639959796108837,2.3512097063680093,,2.216108818584747
70,,,,,,,,,,
36,,297000.0,,,,,4.200879886575256,,,
64,,,,,,,,,,
50,,111000.0,,,,,6.234203875315923,,,
74,,,,,,,,,,
75,,,,,,,,,,
39,109000.0,191000.0,,,155000.0,1.603436355345033,2.948076804346484,,,2.2904260192395784
17,,,183000.0,,,,,5.139583216311857,,
47,,,,,,,,,,
48,,,112000.0,,,,,55.063913470993114,,
71,,141000.0,,,120000.0,,2.721902629242114,,,2.3122278315156652
52,,180000.0,,,,,5.9920106524633825,,,
10,,,152000.0,,,,,5.414455170448473,,
72,,,,,,,,,,
57,,106000.0,,,,,1.8164059153143581,,,
55,,179000.0,,,,,5.958721704394141,,,
26,,102000.0,,,,,1.2799598443970386,,,
9,,,,,,,,,,
12,,,,,,,,,,
62,,143000.0,,,,,1.8523316062176165,,,
