,ID.org,city,name,state,year
0,N190,Bronx,ST BERNARD SCHOOL AFTERCARE PROGRAM,NY,2001
1,A682,Staten Island,COLLEGE OF STATEN ISLAND,NA,NA
2,DI5227,NA,JHS 185 EDWARD BLEEKER,NA,NA
3,C4082,New York,ENTERTAINMENT INTERNSHIP,NY,2000
4,Y101,New York,FIRST DEPARTMENT ASSIGNED OFFICE OF APPELLATE DEFEND,NY,2010
5,A1382,New York,HORIZON CONCERTS,NY,2000
6,DI210,Brooklyn,INTERMEDIATE SCHOOL 201 PTA,NA,NA
7,A678,Brooklyn,COLLAPSABLE GIRAFFE,NY,2000
8,56,Brooklyn,NY AQUARIUM,NA,NA
9,A3318,Bronx,URBAN ART FORUM,NY,1998
10,A3180,New York,THEATER COMMUNICATIONS GROUP,NY,2010
11,RR9454,New York,UNDERHILL GARDENS ASSOCIATION,NY,2002
12,RR7736,Brooklyn,BROOKLYN HEIGHTS SYNAGOGUE,NY,2008
13,RR7598,Middle Village,ALL FAITHS RESTORATION AND BEAUTIFICATION PROGRAM,NY,2004
14,DI4800,NA,DILLER QUALE,NA,NA
15,A1344,New York,HEIGHTS CENTER FOR IMMIGRANT ADVOCACY,NA,NA
16,DI3359,New York,SUMMER PLAY FESTIVAL,NA,NA
17,101,New York,GREATER ZION HILL,NA,NA
18,E122,Brooklyn,ST BERNADETTE GOLDEN AGE CLUB,NA,NA
19,Y290,Cambria Heights,ALPHA PHI ALPHA SENIOR CITIZENS CENTER,NA,NA
20,A2307,Richmond Hill,ONE STOP RICHMOND HILL BLOCK ASSOCIATION,NA,NA
21,RR8763,Bronx,ST FRANCES DE CHANTAL CHURCH,NY,2008
22,A1889,New York,MUNICIPAL ART SOCIETY OF NY,NA,NA
23,DI4372,NA,KNOWLEDGE AND POWER PREPARATORY VII MIDDLE SCHOOL,NA,NA
24,RR8519,Brooklyn,OLDER CHILD ADOPTION AND PERMANE NCY MOVEMENT,NY,2004
25,RR7102,Brooklyn,CONGREGATION KEHAL PREMISHLAN,NA,NA
26,RR7214,Richmond Hill,HOLY CHILD JESUS SPORTS,NA,NA
27,A1082,Brooklyn,FLAMES NEIGHBORHOOD YOUTH ASSOCIATION,NY,2000
28,Y172,NA,MANHATTAN VALLEY,NA,NA
29,A1865,Bronx,MOSHOLU PRESERVATION,NA,NA
30,RR2845,New York,RESEARCH FOUNDATION OF CUNY CUNY NY COLLEGE OF TECHNOLOGY,NY,2011
31,DI425,Bronx,JASA VAN CORTLANDT VILLAGE SENIOR CENTER,NA,NA
32,DI2374,New York,PROJECT REACH,NA,NA
33,RR7093,Brooklyn,CODE FOUNDATION,NA,NA
34,A3323,New York,URBAN PATHWAYS,NY,2011
35,DI338,Bronx,ARTURO SCHOMBURG SENIOR CENTER,NA,NA
36,A707,Little Neck,COMMUNITY EDUCATION RESOURCE CENTER CERC,NY,1999
37,DI2022,New York,COUNCIL ON JEWISH MIGR COMMUNITY ORGANIZATION,NA,NA
38,DI3338,New York,PARK WEST NEIGHBORHOOD HISTORY GROUP,NA,NA
39,A2970,New York,SUTTON AREA COMMUNITY,NY,2009
40,DI1150,New York,FROG AND PEACH THEATER,NA,NA
41,Y381,Astoria,RAVENSWOOD COMMUNITY,NY,2002
42,DI2543,Brooklyn,MT CARMEL YOUTH DEVELOPMENT,NA,NA
43,RR8025,Brooklyn,FILM BIZ RECYCLING,NY,2010
44,A336,Brooklyn,BETHANY LUTHERAN CHURCH,NA,NA
45,DI1458,Whitestone,JASA WHITESTONE HEBREW CENTERSENIOR PROGRAM,NA,NA
46,DI3953,NA,SAMUEL FIELD YMHA BUSES,NA,NA
47,RR8672,Brooklyn,SALAM ARABIC LUTHERAN CHURCH,NA,NA
48,DI687,Brooklyn,BROWNSVILLE SENIOR CENTER,NA,NA
49,DI2450,Corona,YOUNGS SPORTS CENTER,NA,NA
50,DI4471,NA,FINANCIAL LITERACY,NA,NA
51,DI726,New York,NY STATE DEFENDERS ASSOCIATION IMMIGRANT DEFENSE PROJECT,NA,NA
52,A2373,New York,PARODNECK FOUNDATION FOR SELFHELP HOUSING AND COMMUNITY DEVELOPMENT,NA,NA
53,A833,Astoria,CYPRECO OF AMERICA,NA,NA
54,RR8221,Bronx,JOAN MILLER AND CHAMBER ARTS DANCE PLA,NY,2002
55,DI1740,New York,PUBLIC SCHOOL 92M MARY MCLEOD BETHUNE,NA,NA
56,DI78,New York,PUBLIC SCHOOL 77,NA,NA
57,Y460,New York,ASIAN AMERICANS FOR EQUALITY,NA,NA
58,N401,New York,MESIVTHA TIFERETH JERUSALEM,NY,2009
59,RR8750,Brooklyn,ST BARNABAS EPISCOPAL CHURCH,NY,2004
60,DI2216,New York,PUERTO RICAN STUDIES INSTITUTEHUNTER COLLEGE,NA,NA
61,DI2971,Staten Island,PS 18,NA,NA
62,DI2196,New York,GODDARD RIVERSIDE COMMUNITY CENTER WEST SIDE SRO LAW PROJECT,NA,NA
63,A546,Brooklyn,CENTRAL BROOKLYN ECONOMIC DEVELOPMENT,NA,NA
64,RR7583,Brooklyn,A FORUM FOR LIFE,NY,2006
65,175,Staten Island,CROSSROADS UNLIMITED,NY,2007
66,DI4405,NA,BRONX GREEN MIDDLE SCHOOL,NA,NA
67,A2586,Brooklyn,REEVES DRAKEFORD EDUCATIONAL AND RECREATIONAL ASSOCIATION,NY,2006
68,DI3850,Brooklyn,CAROUSEL DAYCARE,NA,NA
69,RR2330,Brooklyn,FORT GREENE SNAP,NA,NA
70,C849,Brooklyn,YOUTH AMERICA,NA,NA
71,A298,Bayside,BAYSIDE VOLUNTEER AMBULANCE CORPS,NA,NA
72,RR4044,New York,NEW HEIGHTS NEIGHBORHOOD CENTER,NA,NA
73,DI4764,NA,LOCAL LITTLE LEAGUES AND SPORTS,NA,NA
74,DI1829,Brooklyn,GREENE AVENUE ASSOCIATION 80 GREENE,NA,NA
75,A2132,New York,NY STUDIO OF DRAWING PAI NTING AND SCULPTURE,NY,1996
76,A2535,Bellerose,QUEENS CHILDRENS THEATER COMP,NY,2000
77,DI2501,Astoria,LONG ISLAND CITY ALLIANCE,NA,NA
78,A2334,Bronx,OUR LADY OF REFUGE SCHOOL,NY,2007
79,DI3397,New York,PUBLIC SCHOOL INTERMEDIATE SCHOOL 188 PARENT ASSOCIATION,NA,NA
80,RR2627,New York,CITIZENS COMMITTEE FOR NY,NA,NA
81,A1530,Staten Island,JACQUES MARCHAIS MUSEUM OF TIBETAN ART,NA,NA
82,DI2000,Brooklyn,UNITED FEDERATION OF JEWISH ORGANIZATIONS,NA,NA
83,A2216,New York,NY GILBERT AND SULLIVAN PLAYERS,NY,2000
84,A285,New York,BATOTO YETU,NY,2008
85,A410,Bronx,BRONX SECTIONNATIONAL COUNCIL OF JEWISH WOMEN,NY,1997
86,DI5301,Brooklyn,FT GREENE STUYVESANT HEIGHTS SENIOR CENTER,NA,NA
87,RR4055,New York,NY UNIVERSITY SCHOOL OF LAW,NY,2005
88,A3495,Flushing,YOUNG KOREANAMER SERV EDU CENTER,NY,2001
89,A1834,Brooklyn,MILTON L FINEL POST JWV,NY,2005
90,RR7464,Staten Island,ST CHRISTOPHER SCHOOL,NY,2009
91,A1796,New York,MELA FOUNDATION,NY,2000
92,DI4652,NA,INDUSTRIAL AND TECHNOLOGY ASSISTANCE ITAC,NA,NA
93,DI1866,Brooklyn,WYKOFF GARDEN,NA,NA
94,DI1473,New York,HUNTER SCIENCE HIGH SCHOOL,NA,NA
95,DI2476,St. Albans,GRACE COMMUNITY SPORTS PROGRAM,NA,NA
96,RR2889,New York,ST VINCENTS CATHOLIC MEDICAL CENTER FOR ST VINCENTS HOSPITAL,NA,NA
97,A1403,New York,HUNGARIAN THEATER AND ART ASSOCIATION,NY,2000
98,DI2665,Brooklyn,RANDOLPH EVANS MEMORIAL SCHOLARSHIP,NA,NA
