,ID.org,city,name,state,year
99,RR8894,Brooklyn,URBAN DIVERS MARINE CONSERVATIONSCIENTIFIC DIVING,NA,NA
100,DI4869,NA,OBESITY PREVENTION INITIATIVE,NA,NA
101,N380,New York,I HAVE A DREAM FOUNDATION,NY,1998
102,DI2454,Jamaica,SPQA BEACON AT IS 8,NA,NA
103,A2694,New York,ROOSEVELT ISLAND DISABLED ASSOCIATION,NA,NA
104,A326,Brooklyn,BENSONHURST TENANTS COUNCIL,NA,NA
105,DI1423,Staten Island,TODT HILL FRIENDSHIP CLUB SENIOR CENTER,NA,NA
106,A302,Far Rockaway,BAYSWATER SECURITY PATROL,NY,2004
107,DI2807,Brooklyn,KILAH MARINE PARK,NA,NA
108,RR4549,New York,EAST NY VILLAGE ACADEMY,NY,2005
109,N319,Brooklyn,BNOS MALKE BELZ,NY,2001
110,DI1096,New York,ARTISTS UNITE,NA,NA
111,A700,Brooklyn,COMMUNITY ACTION PROJECT,NA,NA
112,RR7973,Brooklyn,EAST NY PREP CHARTER SCHOOL,NY,2006
113,DI1711,Bronx,CAB MORRIS SENIOR CENTER,NA,NA
114,Y225,Brooklyn,ST JOSEPH SERVICES FOR,NY,2000
115,DI5343,Brooklyn,BROOKLYN REPERTORY,NA,NA
116,DI1409,Bronx,PUBLIC SCHOOL 36 CAPS AFTER SCHOOL ADVANTAGE PROGRAM,NA,NA
117,A3508,New York,YOUTH COMMUNICATIONNEW YORK CENTER,NA,NA
118,DI3619,Forest Hills,AMERICAN LEGION HALL CONTINENTAL POST 1424,NA,NA
119,RR8052,Flushing,FREE SYNAGOGUE OF FLUSHING,NY,2010
120,DI690,Brooklyn,18TH AVENUE BOARD OF MERCHANTS,NA,NA
121,A677,Brooklyn,COLLABORATIVE URBAN SCULPTURE,NY,2003
122,RR9170,Brooklyn,GIDEON OUTREACH MIISTRIES,NA,NA
123,DI4528,NA,FORT GREENE SENIOR CITIZENS COUNCIL PENN WORTMAN SENIOR CENTER,NA,NA
124,Y95,New York,EPILEPSY FOUNDATION,NA,NA
125,RR7575,Brooklyn,ACHIEVEMENT FIRST EAST NY CS NY CHARTER SCHOOL,NY,2006
126,RR7990,New York,EMERGING ARTISTS THEATER,NA,NA
127,DI21,Brooklyn,ALBANY SENIOR CIITZENS CENTER,NA,NA
128,N326,Brooklyn,CARIBBEAN AMERICAN DEVELOPMENT,NA,NA
129,DI1492,Staten Island,ST CHRISTOPHERS HOLY NAME SOCIETY,NA,NA
130,RR4337,Cambria Heights,CAMBRIA HEIGHTS CIVIC ASSOCIATION,NY,2005
131,RR4311,Kew Gardens,QUEENS COUNTY OVERALL ECONOMIC DEVELOPMENT,NA,NA
132,N146,New York,NYS ALLIANCE FOR DOMESTIC AND INTERNATIONAL EDUCATION PGMS,NY,2001
133,DI2317,New York,OCEANHILLBROWNSVILLE HOUSES,NA,NA
134,A1255,Corona,GREEK ORTH COMMUNITY OF CORONA AND SUBS TRANSFIG OF CHRIST,NY,2004
135,DI4722,NA,ROCKAWAY PEOPLES NETWORK,NA,NA
136,DI2953,Brooklyn,LATINOS AMERICANOS UNIDOS,NA,NA
137,RR7721,Bronx,BRONX LIGHTHOUSE CHARTER SCHOOL,NY,2004
138,RR9360,Forest Hills,PRAGATI,NY,2010
139,DI3403,Brooklyn,WORD OF LIFE MINISTRIES,NA,NA
140,C4063,Brooklyn,CONCORD HOME CARE FOR ELDERLY,NA,NA
141,N147,Bayside,ONE CALL USERS COUNCIL,NY,1999
142,DI5183,NA,ST AUGUSTINES SOUP KITCHEN PANTRY,NA,NA
143,N123,New York,MUSIC PERFORMANCE TRUST FUND,NY,1998
144,A1562,New York,JEWISH REPERTORY THEATER,NY,2000
145,DI4306,NA,JHS 104 SIMON BARUCH,NA,NA
146,RR2233,Staten Island,BAYVIEW COMMUNITY COUNCIL,NA,NA
147,A341,NA,BLACK LEADERSHIP COMMISSION ON AIDS,NA,NA
148,DI2100,New York,YMCA LANGUAGE CENTER ELESAIR,NA,NA
149,N455,Jamaica,ORIGINALS OF JAMAICA DAY CARE,NY,2009
150,DI4853,NA,HIVAIDS COMMUNITIES OF COLOR,NA,NA
151,DI5064,NA,GRANAT ALZHEIMER CENTER,NA,NA
152,DI1173,Brooklyn,CONEY ISLAND HISTORY PROJECT,NA,NA
153,A1987,New York,NATIONAL URBAN FELLOWS,NY,2006
154,RR2764,Brooklyn,MUSEUM OF CONTEMPORARY AFRICAN DIASPORIAN ART,NY,2007
155,DI5297,Brooklyn,PROJECT SOCIAL CARE HEADSTART,NA,NA
156,A988,New York,EL BARRIO POPULAR EDUCATION PROGRAM,NY,1996
157,A1944,Astoria,ASTORIALIC NAACP FAMILY DAY CARE CENTER FUND,NY,2002
158,A2327,Brooklyn,OTSAR FAMILY SERVICES,NA,NA
159,RR2831,Brooklyn,REACHINGOUT COMMUNITY SERVICES,NA,NA
160,A1621,New York,LA ROCQUE BEY SCHOOL OF DANCE THT,NY,1997
161,DI2133,Brooklyn,LUTHERAN MEDICAL CENTER AUGUSTANA HOME WELLNESS CENTER,NA,NA
162,DI4710,NA,RJ LEE GROUP SAMPLING AT OWLS HEAD TREATMENT FACILITY OF DEPT OF ENVIRONMENTAL PROTECTION,NA,NA
163,DI2427,Corona,NEW DAY FOUNDATION,NA,NA
164,RR2475,New York,RESTAURANT OPPORTUNITIES CENTER OF NY,NY,2009
165,DI1743,Brooklyn,ST JAVIERS YOUTH PROGRAMS,NA,NA
166,A1671,Flushing,LIFESPRING,NY,2001
167,A2103,New York,NY LANDMARKS CONSERVANCY,NY,2009
168,DI4776,NA,DEPARTMENT FOR AGING,NA,NA
169,DI2691,Springfield Gardens,JAMAICA SERVICE PROGRAM FOR OLDER ADULTS FRIENDSHIP CENTER,NA,NA
170,A785,New York,CORRECTIONAL EDUCATIONAL CONSORTIUM,NY,2009
171,DI1335,New York,OUR LADY OF POMPEII SENIOR CENTER,NA,NA
172,RR4680,New York,STATE UNIVERSITY OF NY OPTOMETRIC CENTER,NY,2010
173,A544,Brooklyn,CENTRAL AMERICAN LEGAL ASSISTANCE,NA,NA
174,RR2496,Brooklyn,SOUTH BROOKLYN YOUTH,NY,2007
175,C4050,New York,CLASSROOM INCORPORATED,NY,2010
176,DI1255,Bronx,SEBCO SENIOR PROGRAMS,NA,NA
177,N176,Far Rockaway,ROCKAWAY BEACH CIVIC ASSOCIATION,NY,1998
178,A35,Brooklyn,69TH PRECINCT COMMUNITY COUNCIL,NA,NA
179,A3372,New York,VOLUNTEERS OF LEGAL SERVICE,NY,2011
180,RR4901,New York,BROOKLYN EAST COLLEGIATE CHARTER SCHOOL,NY,2010
181,RR7449,Springfield Gardens,SOCIAL CONCERN COMMUNITY DEVEL,NY,2009
182,Y216,New York,RENA DAY CARE CENTERS,NA,NA
183,DI2011,Woodside,ST SEBASTIANS LEISURE CLUB,NA,NA
184,DI1546,Springfield Gardens,INTERMEDIATE SCHOOL 231Q,NA,NA
185,RR3422,New York,PREMIER HEALTH CARE,NY,2010
186,DI1484,Kew Gardens,ALEXANDRE FOUNDATION,NA,NA
187,A352,Ozozne Park,BOBBI AND STRAYS,NA,NA
188,RR8896,New York,URBAN YOGA FOUNDATION,NY,2009
189,RR9255,New York,LOWER EAST SIDE PEOPLES FEDERAL CREDIT UNION,NA,NA
190,DI2679,Brooklyn,ST MARKS DAY SCHOOL PRESCHOOL,NA,NA
191,DI2706,Brooklyn,BROOKLYN YOUNG FILMMAKERS,NA,NA
192,DI2785,New York,PS 77 PTA,NA,NA
193,DI2468,Brooklyn,AVID,NA,NA
194,A1220,New York,GODS LOVE WE DELIVER,NA,NA
195,A3194,New York,SOCIETY OF THIRD STREET MUSIC SCHOOL SETTLEMENT,NA,NA
196,A605,New York,CHINATOWN HEALTH CLINIC,NA,NA
197,DI1865,Brooklyn,SALVATION ARMY COMMUNITY CENTER,NA,NA
198,200,New York,NETWORK FOR TEACHING ENTREPRENEURSHIP,NA,NA
199,Y241,New York,SUPPORT FOR TRAINING AND,NY,2006
200,A391,Bronx,BRONX COUNTY MARINE CORPS LEAGUE,NY,1999
201,DI2266,Brooklyn,STORYCORPS,NA,NA
202,DI3133,Flushing,RAIDER YOUTH FOOTBALL,NA,NA
203,A1672,Staten Island,LIFESTYLES FOR DISABLED,NA,NA
204,DI4693,NA,NEWS QUEENS COMMUNITY DEVCORP,NA,NA
205,18,Long Island City,ISAMU NOGUCHI FOUNDATION AND GARDEN MUSEUM,NA,NA
206,RR2339,New York,GIRLS PREPARATORY CHARTER SCHOOL OF EAST HARLEM,NY,2009
207,RR2633,New York,COLLEGE OF STATEN ISLAND RESEARCH FOUNDATION CUNY,NY,2005
208,DI4444,NA,CHILD WELFARE PERSONNEL,NA,NA
209,DI2345,Bronx,FRIENDLY COMMUNITY CARE,NA,NA
210,RR3708,Brooklyn,BEDSTUY EARLY CHILDHOOD DEVELOPMENT CENTER,NA,NA
211,DI302,Brooklyn,SCO FAMILY OF SERVICES,NA,NA
212,DI4030,NA,ECQ GROUP,NA,NA
213,RR2801,New York,NY STATE TENANTS AND NEIGHBORS INFORMATION SERVICE,NA,NA
214,DI2641,Springfield Gardens,MONTEPELIER PARK WARRIORS DAY SPRINGFIELD GARDENS,NA,NA
215,A516,Ozone Park,CATHOLIC WAR VETS ST LOUIS DEMONTFORT PSOT 1721,NY,2002
216,DI399,Brooklyn,PENNWORTMAN,NA,NA
217,A1643,New York,LAWYERS COMMITTEE FOR HUMAN RIGHTS,NY,1998
218,DI2452,Jamaica,PRAISE TABERNACLE,NA,NA
219,N174,Richmond Hill,RICHMOND HILL HISTORICAL SOCIETY,NA,NA
220,DI4370,NA,EL REGRESO LA NUEVA ESPERANZA,NA,NA
221,DI824,Staten Island,DISTRICT ATTORNEYRICHMOND,NA,NA
222,N422,Brooklyn,PROSPECT HOME CARE,NY,2001
223,C545.1,Brooklyn,NEW HOPE GUILD FOR EMOTIONALLY DISTURBED CHILDREN,NY,2001
224,DI2974,Cambria Heights,YOU CAN GO TO COLLEGE,NA,NA
225,N226,New York,WASHINGTON HEIGHTSINWOOD PRESERVATION AND RESTORATION,NA,NA
226,DI699,Brooklyn,YESHIVA OF FLATBUSH HIGH SCHOOL,NA,NA
227,RR2550,Bronx,161ST STREET MERCHANTS ASSOCIATION,NA,NA
228,RR3507,Brooklyn,KINGS MAJESTIC 651 ARTS,NA,NA
229,DI2440,New York,NEW AMSTERDAM MUSICAL ASSOCIATION,NA,NA
230,DI4098,NA,EVENING STAR BAPTIST CHURCH,NA,NA
231,DI3383,New York,JUAN PABLO DUARTE FOUNDATION,NA,NA
232,DI1396,New York,BOOKER T WASHINGTON BEACON,NA,NA
233,DI4991,NA,ZONING STUDY,NA,NA
234,DI4281,NA,BFFY PETE MCGUINESS SENIOR CENTER,NA,NA
235,RR4350,Brooklyn,YESHIVAH OHEL MOSHE,NY,2009
236,Y49,New York,CENTER FOR APPELLATE LITIGATION,NY,2010
237,RR8696,New York,SETTLEMENT HOUSING FUND,NY,2010
238,RR8253,Brooklyn,KURDISH HERITAGE FOUNDATION OF AMERICA,NY,2002
239,DI5146,NA,UNITED METHODIST CHURCH OF VILLAGE,NA,NA
240,C1058,Bronx,NEIGHBORHOOD INITIATIVE DEVELOPMENT,NA,NA
241,A2438,NA,PRAXIS HOUSING INITIATIVES,NA,NA
242,DI791,Staten Island,JOEY DIPAOLO AIDS FOUNDATION,NA,NA
243,DI2617,South Ozone Park,RICHMOND HILL SOUTH CIVIC ASSOCIATION,NA,NA
244,A3074,New York,FOUNDATION FOR QUALITY MEDICAL CARE,NY,1998
245,RR9108,New York,CORO NY LEADERSHIP CENTER,NA,NA
246,A1267,New York,GSUC CHILDCARE DEVELOPMENT AND LEARNING CENTER,NY,2010
247,DI4283,NA,BFFY ST CHARLES SENIOR CITIZEN CENTER,NA,NA
248,A201,New York,ARTS HORIZONS,NY,2008
249,DI1455,New York,VISUAL UNDERSTANDING IN EDUCATION,NA,NA
250,RR9458,Brooklyn,UNITED COMMUNITY HOUSES AND SERVICES DBA UNITED COMMUNITY SERVICES OF BORO PARK,NA,NA
251,DI578,New York,45 ALLEN STREET TENANTS ASSOCIATION,NA,NA
252,DI1540,Brooklyn,WILLIAMSBURG GREENPOINT HIV CARE NETWORK,NA,NA
253,DI3715,Brooklyn,SAMAHA SINGERS,NA,NA
254,DI5155,NA,PICCIRILLI SIGN AND EXHIBIT,NA,NA
255,A2751,New York,SARATOGA INTL THEATER INST,NY,2001
256,RR8192,Elmhurst,INTERBORO REGIONAL HEALTH INFORMATION ORGANIZATION,NY,2008
257,A595,Brooklyn,CHILDRENS CENTER AT SUNY,NY,2010
258,C4128,Flushing,KOREAN COMMUNITY SERVICES OF METROPOLITAN NY,NA,NA
259,RR8543,Staten Island,PAX RICH,NY,2008
260,A517,NA,CATHOLIC YOUTH ORGANIZATION OF ARCHDIOCESE OF NY,NA,NA
261,A1681,College Point,LITTLE LEAGUE BASEBALL OF COLLEGE POINT NY,NA,NA
262,RR8673,Bronx,SALANTER AKIBA RIVERDALE ACADEMY,NY,2010
263,RR2699,Brooklyn,HEALTH PLUS PREPAID HEALTH SERVICES PLAN,NY,2009
264,78,New York,MANHATTAN VALLEY GOLDEN AGE SENIOR CENTER,NY,2009
265,A2184,Staten Island,NORTH SHORE RESCUE SQUAD NO 1,NA,NA
266,DI3683,New York,YMCA OF GREATER NY AT MILLENNIUM HIGH SCHOOL,NA,NA
267,DI1995,Bronx,JUNIOR HIGH SCHOOL 113X,NA,NA
268,DI3357,Brooklyn,MOUNT ARARAT BAPTIST CHURCH,NA,NA
269,A1685,Brooklyn,LITTLE SUN PEOPLE TOO,NA,NA
270,RR7552,Brooklyn,1200 DEAN STREET BLOCK ASSOCIA TION,NY,2008
271,C4155,Brooklyn,NEW HORIZONS ADULT EDUCATION,NY,2006
272,A2010,New York,NETWORK FOR EMPLOYMENT OPPORTUNITIES,NY,2009
273,RR2632,Brooklyn,CODY CARES FOR KIDS,NA,NA
274,RR4302,New York,DEMOCRACY PREPARATORY,NY,2006
275,DI5272,Flushing,YOUNG KOREAN AMERICAN SCIENCE AND EDUCATION CENTER,NA,NA
276,DI4287,NA,BIALYSTOKER CENTER NURSING AND REHAB,NA,NA
277,RR8297,Glen Oaks,LOST COMMUNITY VOLUNTEER PATROL,NY,2002
278,A999,Brooklyn,ELLA BAKER CHARLES ROMAIN,NY,2008
279,RR2401,New York,LOWER EAST SIDE,NY,2009
280,RR7751,New York,BUILDERS CONTRACTORS ASSCINC,NY,2002
281,RR4565,Brooklyn,ST RITAS ROMAN CATHOLIC CHURCH,NA,NA
282,RR8250,New York,KOREAN AMERICAN ASSOCIATION OF GREATER NY,NA,NA
283,RR2817,Rosedale,POSITIVE DIRECTION BASKETBALL LEAGUE ST CLAIRE,NA,NA
284,DI933,Astoria,ATHENS SQUARE PARK,NA,NA
285,A2957,New York,STUYVESANT PARK NEIGHBOORHOOD ASSOCIATION,NY,1995
286,A1170,Brooklyn,FRIENDS UNITED YOUTH CENTER,NA,NA
287,A2460,New York,PROFESSIONAL EXAMINATION SERVICE,NY,2009
288,DI4019,NA,BOROUGH PRESIDENT MANHATTAN,NA,NA
289,DI1530,Queens,YMCA BEACON PROGRAM JHS 189,NA,NA
290,A372,New York,BRIDGEHAMPTON CHMBR MSC ASSOCIATION,NY,2000
291,N389,New York,JERICHO RESIDENCE IV HDFC,NY,2005
292,A1284,Brooklyn,HAITIAN CENTERS COUNCIL,NA,NA
293,DI2705,New York,NY GOSPEL MISSION TO JEWS,NA,NA
294,DI3670,Bayside,WINDSOR PARK COMMUNITY COUNCIL,NA,NA
295,DI2888,Bronx,JASA PARKCHESTER,NA,NA
296,RR3195,New York,INSTITUTE FOR REPRODUCTIVE HEALTH ACCESS NARAL PR,NY,2010
297,N45,New York,COMPREHENSIVE DEVELOPMENT,NA,NA
298,A1314,New York,HARLEM WEEK,NA,NA
299,DI652,Brooklyn,PUBLIC SCHOOL 119K,NA,NA
300,RR7341,Brooklyn,NEW MILLENNIUM INITIATIVES,NA,NA
301,DI3495,New York,HOWL FESTIVAL,NA,NA
302,RR2915,Brooklyn,YESHIVAS NOVOMINSK KOL YEHUDAH,NY,2008
303,Y99,New York,FEDCAP REHAB SERVICES,NA,NA
304,119,Brooklyn,FOUR BOROUGH NEIGHBORHOOD PRESERVATION,NY,2007
305,RR8467,Bronx,NY MONTESSORI CHARTER SCHOOL,NY,2011
306,DI1907,Bronx,MONTEFIORE SCHOOL HEALTH PROG BRONX LEHMAN,NA,NA
307,DI3952,NA,SAMUEL FIELD YM YWHA NORC WITHOUT WALLS,NA,NA
308,DI2470,Saint Albans,FARMERS BOULEVARD COMMUNITY DEVELOPMENT,NA,NA
309,DI2621,South Ozone Park,NY EDUCATIONAL SERVICE TEAM,NA,NA
310,A3341,New York,VERITAS THERAPUTIC COMMUNITY,NA,NA
311,DI415,Brooklyn,FORTY GREENE AVENUE CULTURAL CENTER,NA,NA
312,DI5193,NA,MTA CAPITAL,NA,NA
313,RR8294,New York,LONG ISLAND AMATEUR HOCKEY LEA GUE,NY,2004
314,RR3261,Brooklyn,COUNCIL OF PEOPLES ORGANIZATION,NA,NA
315,RR4484,Brooklyn,EDUCATIONAL INSTITUTE OHOLEI TORAH OF BROOKLYN,NY,2009
316,A1457.1,Bronx,INSTITUTE FOR MULTICULTURAL COMMUNICATIONS COOPERATION,NY,2008
317,RR7016,South Richmond Hill,BEVS KIDDIE DAYCARE,NY,2010
318,RR9312,Jamaica,NORTHEASTERN CONFERENCE HOUSE HOUSING DEVELOPMENT FUND,NA,NA
319,RR4536,New York,FOUNDATION FOR JEWISH BROADCASTING,NA,NA
320,RR8144,Brooklyn,HERITAGE HUMAN SERVICES,NY,2011
321,DI3599,New York,WASHINGTON HEIGHTS COMMUNITY SERVICE STAR SENIOR CENTER,NA,NA
322,C1167,Bronx,SOUTH EAST BRONX NEIGHBORHOOD CENTERS,NA,NA
323,DI2221,Brooklyn,BROOKLYN CHAMBER OF COMMERCE,NA,NA
324,RR8115,Brooklyn,HABNET CHAMBER OF COMMERCE,NY,2009
325,RR3477,Bronx,MOUNT LEBANON BAPTIST CHURCH,NA,NA
326,DI1979,New York,HIV FORUM,NA,NA
327,DI872,Brooklyn,FIRST BAPTIST CHURCH OF SHEEPSHEAD BAY,NA,NA
328,DI3460,Bronx,COMMUNITY SCHOOL 30,NA,NA
329,DI2821,Queens,OZONE PARK KIWANIS,NA,NA
330,N468,Bronx,VICTORY DAY CARE CENTER,NY,2007
331,A1113,Bronx,FORDHAM UNIVERSITY UNIVERSITY PRESS,NY,1998
332,RR9289,New York,MORRIS AVENUE RESIDENCE HDFC,NY,2004
333,DI5177,NA,MOTT HALL II,NA,NA
334,RR7370,Bronx,PARENTS OF ANGELS,NA,NA
335,N414,New York,NORTHSIDE CENTER FOR,NY,2003
336,DI1952,Brooklyn,BROOKLYN CHILDCARE COLLECTIVE,NA,NA
337,DI3471,Staten Island,MUD LANE SOCIETY,NA,NA
338,DI2592,Brooklyn,END TIMES PENTECOSTAL CHURCH,NA,NA
339,DI386,Forest Hills,QUEENS COMMUNITY BOARD 6,NA,NA
340,A2088,New York,NY FESTIVAL OF SONG,NY,2000
341,A2476,Brooklyn,PROMOTE ART WORKS,NA,NA
342,DI3908,NA,CITIZENS CARE SENIOR CENTER,NA,NA
343,DI772,Jamaica,INTERNATIONAL TOWERS LUNCHEON CLUB,NA,NA
344,RR4584,Brooklyn,DOWNTOWN BROOKLYN PARTNERSHIP,NA,NA
345,DI3512,Brooklyn,MO BETTER JAGUARS FOOTBALL AND CHEERLEADING,NA,NA
346,Y141,New York,HOUSING CONSERVATION COORDINATORS,NA,NA
347,RR4699,Staten Island,HOLY TRINITY ST NICHOLAS GREEK ORTHODOX SENIOR CENTER,NA,NA
348,DI5282,New York,TAMBORIL COMMUNITY CENTER,NA,NA
