id,x,y,id
261113964,-87.5981377,41.7605357,261113964
261113966,-87.59564,41.758694,261113966
261113967,-87.595025,41.7582481,261113967
261113970,-87.5900116,41.7546856,261113970
261113974,-87.588727,41.7537763,261113974
261113978,-87.587487,41.7528715,261113978
261113992,-87.6154547,41.7729737,261113992
261113996,-87.6129882,41.7712078,261113996
261113999,-87.6121845,41.7706037,261113999
261114001,-87.6105264,41.7694238,261114001
261114002,-87.6086022,41.768039,261114002
261114174,-87.6347833,41.810237,261114174
261114175,-87.6347784,41.809829,261114175
261114178,-87.634484,41.8060272,261114178
261114179,-87.6344041,41.8036207,261114179
261114180,-87.6343434,41.801794,261114180
261114182,-87.6341054,41.7918725,261114182
261114183,-87.6340706,41.7908643,261114183
261114186,-87.6340431,41.7883453,261114186
261114187,-87.6340216,41.7872037,261114187
261114188,-87.6347072,41.8163698,261114188
261114189,-87.6346887,41.8154582,261114189
261114190,-87.6346459,41.8137032,261114190
261114191,-87.6346081,41.8125028,261114191
261114192,-87.6343225,41.7981562,261114192
261114193,-87.6342349,41.7950174,261114193
261114198,-87.6354514,41.8425565,261114198
261114199,-87.6354081,41.8411095,261114199
261114200,-87.6353737,41.8396575,261114200
261114201,-87.6353563,41.8389246,261114201
261114204,-87.6352525,41.8345418,261114204
261114205,-87.6352093,41.832719,261114205
261114206,-87.6351659,41.8308861,261114206
261115058,-87.5968727,41.814147,261115058
261115059,-87.5957702,41.8146058,261115059
261115061,-87.6139852,41.8139646,261115061
261115062,-87.6115779,41.8140099,261115062
261115111,-87.6549636,41.7504806,261115111
261115112,-87.6549137,41.7486657,261115112
261115113,-87.6548635,41.7468403,261115113
261115114,-87.6548136,41.745027,261115114
261115115,-87.6547632,41.7431915,261115115
261115116,-87.6547131,41.7413707,261115116
261115117,-87.6546635,41.7395637,261115117
261115686,-87.581634,41.7497147,261115686
261115687,-87.5799874,41.7497348,261115687
261115688,-87.5783657,41.7497545,261115688
261115689,-87.5771699,41.7497691,261115689
261115690,-87.5759523,41.7497948,261115690
261115691,-87.5747295,41.7497988,261115691
