id,x,y,id
4332972942,-87.6062377,41.7947094,4332972942
4332972944,-87.6062536,41.7952444,4332972944
4829174283,-87.6056898,41.7949746,4829174283
5072693316,-87.5997749,41.7944532,5072693316
5545781680,-87.5981193,41.7950561,5545781680
5710403580,-87.587414,41.7952032,5710403580
5827159295,-87.6061486,41.7907118,5827159295
5827159299,-87.6061804,41.7922566,5827159299
5827159300,-87.6061939,41.7926906,5827159300
5827159301,-87.6062015,41.7929355,5827159301
5827159304,-87.6062317,41.7944433,5827159304
5827159307,-87.6062608,41.7955307,5827159307
5827182220,-87.6060595,41.786775,5827182220
5827182221,-87.6065281,41.7864097,5827182221
5827182224,-87.6060904,41.788234,5827182224
5827236816,-87.6060481,41.7858687,5827236816
5885767565,-87.6061232,41.7895209,5885767565
5885767568,-87.5997692,41.7950292,5885767568
5885767569,-87.6061638,41.7913196,5885767569
