,,access,bridge,distance,from,highway,lanes,name,oneway,service,to,tunnel
1685296295,1685262397,,,67.961847,1685296295,service,,East Park Place,,driveway,1685262397,
1685262397,261119775,,,67.474773,1685262397,service,,East Park Place,,driveway,261119775,
261137167,1954300562,,,58.819068,261137167,residential,,South Kimbark Avenue,-1,,1954300562,
1954300562,386824366,,,49.841021,1954300562,residential,,South Kimbark Avenue,-1,,386824366,
386824366,2372687528,,,92.204047,386824366,residential,,South Kimbark Avenue,-1,,2372687528,
2372687528,5425489953,,,39.182144,2372687528,residential,,South Kimbark Avenue,-1,,5425489953,
5425489953,1580168672,,,17.177035,5425489953,residential,,South Kimbark Avenue,-1,,1580168672,
1580168672,261137168,,,67.315758,1580168672,residential,,South Kimbark Avenue,-1,,261137168,
261137168,1657306992,,,35.004981,261137168,residential,,South Kimbark Avenue,-1,,1657306992,
1657306992,261137169,,,165.717851,1657306992,residential,,South Kimbark Avenue,-1,,261137169,
1680902043,1680901390,,,37.826113,1680902043,residential,,East 58th Street,yes,,1680901390,
1680901390,261139500,,,15.514341,1680901390,residential,,East 58th Street,yes,,261139500,
261139500,1676148805,,,64.754648,261139500,residential,,East 58th Street,yes,,1676148805,
1676148805,1674040525,,,41.727015,1676148805,residential,,East 58th Street,yes,,1674040525,
1674040525,261139501,,,27.352182,1674040525,residential,,East 58th Street,yes,,261139501,
261139501,1685262407,,,67.766244,261139501,residential,,East 58th Street,yes,,1685262407,
1685262407,261137171,,,67.368088,1685262407,residential,,East 58th Street,yes,,261137171,
261137171,1685262428,,,66.788133,261137171,residential,,East 58th Street,yes,,1685262428,
1685262428,261139504,,,67.522923,1685262428,residential,,East 58th Street,yes,,261139504,
5885767565,1588218497,,,60.111049,5885767565,residential,,East 58th Street,,,1588218497,
1588218497,261139519,,,37.254331,1588218497,residential,,East 58th Street,,,261139519,
261139519,261139520,,,103.834253,261139519,residential,,East 58th Street,,,261139520,
261139520,2917415965,,,59.099224,261139520,residential,,East 58th Street,,,2917415965,
261140629,1685262438,yes,,53.431707,261140629,residential,,South Kenwood Avenue,,,1685262438,
1685262438,1674040633,yes,,120.847711,1685262438,residential,,South Kenwood Avenue,,,1674040633,
1674040633,1674040662,yes,,26.927801,1674040633,residential,,South Kenwood Avenue,,,1674040662,
1674040662,261139501,yes,,1.980939,1674040662,residential,,South Kenwood Avenue,,,261139501,
261148583,261148584,,,160.24681,261148583,residential,,South Ingleside Avenue,-1,,261148584,
261148584,261148585,,,127.865336,261148584,residential,,South Ingleside Avenue,-1,,261148585,
261148611,5394546313,,,10.802935,261148611,residential,,South Ingleside Avenue,,,5394546313,
5394546313,1678146249,,,96.613881,5394546313,residential,,South Ingleside Avenue,,,1678146249,
1678146249,1678146211,,,17.442556,1678146249,residential,,South Ingleside Avenue,,,1678146211,
1678146211,261148612,,,76.905536,1678146211,residential,,South Ingleside Avenue,,,261148612,
261157995,5394546319,,,10.45686,261157995,residential,,South Drexel Avenue,yes,,5394546319,
5394546319,1897878601,,,58.980983,5394546319,residential,,South Drexel Avenue,yes,,1897878601,
1897878601,1977786776,,,47.94569,1897878601,residential,,South Drexel Avenue,yes,,1977786776,
1977786776,261157996,,,84.611425,1977786776,residential,,South Drexel Avenue,yes,,261157996,
261158000,261158001,,,203.274644,261158000,residential,,South Drexel Avenue,,,261158001,
261158001,261139520,,,201.5654,261158001,residential,,South Drexel Avenue,,,261139520,
261170719,261170720,,,260.549178,261170719,residential,,South Ridgewood Court,yes,,261170720,
261181129,261181130,,,130.36012,261181129,service,,,,parking_aisle,261181130,
261192049,261192050,yes,,202.733127,261192049,residential,,South Maryland Avenue,,,261192050,
261192050,367760220,yes,,10.037049,261192050,residential,,South Maryland Avenue,,,367760220,
2269161688,261192054,,,159.657353,2269161688,residential,,South Maryland Avenue,yes,,261192054,
261192484,5394546318,,,10.20139,261192484,residential,,South University Avenue,,,5394546318,
5394546318,1658287255,,,132.229666,5394546318,residential,,South University Avenue,,,1658287255,
261192512,5396349322,,,8.688354,261192512,residential,,South University Avenue,yes,,5396349322,
5396349322,1683549421,,,42.773449,5396349322,residential,,South University Avenue,yes,,1683549421,
1683549421,1649641078,,,16.99785,1683549421,residential,,South University Avenue,yes,,1649641078,
1649641078,1569744761,,,69.961549,1649641078,residential,,South University Avenue,yes,,1569744761,
1569744761,261139505,,,63.390655,1569744761,residential,,South University Avenue,yes,,261139505,
261139505,1032484728,,,50.340555,261139505,residential,,South University Avenue,yes,,1032484728,
1032484728,1183597508,,,36.089516,1032484728,residential,,South University Avenue,yes,,1183597508,
