,,access,distance,from,hgv,highway,lanes,maxspeed,name,oneway,to,tunnel
261137167,261137168,,324.536041,261137167,,residential,,,South Kimbark Avenue,-1,261137168,
261137168,261137169,,200.721467,261137168,,residential,,,South Kimbark Avenue,-1,261137169,
261139498,261139500,,110.71888,261139498,,residential,,,East 58th Street,yes,261139500,
261139500,261139501,,133.833413,261139500,,residential,,,East 58th Street,yes,261139501,
261139501,261137171,,135.134332,261139501,,residential,,,East 58th Street,yes,261137171,
261137171,261139504,,134.30894,261137171,,residential,,,East 58th Street,yes,261139504,
5885767565,261139519,,97.36538,5885767565,,residential,,,East 58th Street,,261139519,
261139519,261139520,,103.834253,261139519,,residential,,,East 58th Street,,261139520,
261140629,261139501,yes,203.186967,261140629,,residential,,,South Kenwood Avenue,,261139501,
261141765,367760330,,86.724862,261141765,,residential,,,South Harper Avenue,no,367760330,
261148583,261148584,,160.24681,261148583,,residential,,,South Ingleside Avenue,-1,261148584,
261148584,261148585,,127.865336,261148584,,residential,,,South Ingleside Avenue,-1,261148585,
261148611,261148612,,201.76113,261148611,,residential,,,South Ingleside Avenue,,261148612,
261157995,261157996,,201.994957,261157995,,residential,,,South Drexel Avenue,yes,261157996,
261158000,261158001,,203.274644,261158000,,residential,,,South Drexel Avenue,,261158001,
261158001,261139520,,201.5654,261158001,,residential,,,South Drexel Avenue,,261139520,
261170719,261170720,,260.549178,261170719,,residential,,,South Ridgewood Court,yes,261170720,
261160194,261181124,,110.827603,261160194,,residential,,,East 54th Place,no,261181124,
261181124,261141742,,112.900703,261181124,,residential,,,East 54th Place,no,261141742,
261192049,261192050,yes,202.733127,261192049,,residential,,,South Maryland Avenue,,261192050,
261192050,367760220,yes,10.037049,261192050,,residential,,,South Maryland Avenue,,367760220,
261192512,261192511,,405.532751,261192512,,residential,,,South University Avenue,yes,261192511,
261192511,261192510,,202.905166,261192511,,residential,,,South University Avenue,yes,261192510,
261192510,3259301888,,187.120752,261192510,,residential,,,South University Avenue,yes,3259301888,
261198118,261198121,,94.632632,261198118,,secondary,,,East 55th Street,,261198121,
261207127,261202624,,36.705223,261207127,,secondary_link,,,,yes,261202624,
261185250,261202616,,284.957025,261185250,,secondary,,,Rainey Drive,,261202616,
261158033,261148585,,89.039468,261158033,,residential,,,East 55th Street,,261148585,
261148585,261176815,,126.414258,261148585,,residential,,,East 55th Street,,261176815,
261219407,261217405,,202.09234,261219407,,residential,,,South Langley Avenue,yes,261217405,
5545781680,261227633,,130.660012,5545781680,,secondary,,,East 55th Street,,261227633,
261227633,261137168,,134.590911,261227633,,secondary,,,East 55th Street,,261137168,
261137168,261140614,,127.873377,261137168,,secondary,,,East 55th Street,,261140614,
261359000,5710403580,,125.505124,261359000,,secondary,,,East 55th Street,yes,5710403580,
261207130,261242101,,48.417124,261207130,,residential,,,South Blackstone Avenue,yes,261242101,
261207136,261242103,,42.658888,261207136,,residential,,,South Blackstone Avenue,,261242103,
261160195,261242038,,110.995533,261160195,,residential,,,East Rochdale Place,,261242038,
261276584,261192049,,102.219671,261276584,,residential,,,East 56th Street,yes,261192049,
261192049,261158000,,99.268698,261192049,,residential,,,East 56th Street,yes,261158000,
261158000,261176760,,201.901687,261158000,,residential,,,East 56th Street,yes,261176760,
261176760,261192510,,268.307858,261176760,,residential,,,East 56th Street,yes,261192510,
261192510,261277228,,133.100128,261192510,,residential,,,East 56th Street,yes,261277228,
261277228,261137169,,134.932007,261277228,,residential,,,East 56th Street,yes,261137169,
261137169,261140615,,133.108498,261137169,,residential,,,East 56th Street,yes,261140615,
261140615,261160241,,135.364675,261140615,,residential,,,East 56th Street,yes,261160241,
261160241,261242099,,111.036469,261160241,,residential,,,East 56th Street,yes,261242099,
261217404,261266034,,202.102814,261217404,,residential,,,South Champlain Avenue,yes,261266034,
261158030,261148583,,89.414968,261158030,,residential,,,East 54th Street,yes,261148583,
261276582,261192054,,100.981878,261276582,,residential,,,East 54th Street,,261192054,
261192054,261158031,,101.386866,261192054,,residential,,,East 54th Street,,261158031,
261160243,261137172,,268.268286,261160243,,residential,,,East 59th Street,yes,261137172,
261137172,261286254,,135.137907,261137172,,residential,,,East 59th Street,yes,261286254,
261313716,261217303,,287.708024,261313716,,residential,,,South Greenwood Avenue,yes,261217303,
261358998,261227647,,44.216139,261358998,,secondary_link,,,,yes,261227647,
261227636,261358990,,52.228361,261227636,,secondary_link,,,,yes,261358990,
367760326,261141767,,40.373511,367760326,,residential,,,South Harper Avenue,no,261141767,
261140613,261170719,,68.392906,261140613,,residential,,,East 54th Street,no,261170719,
261170719,261160193,,71.465748,261170719,,residential,,,East 54th Street,no,261160193,
261160193,261242036,,112.10742,261160193,,residential,,,East 54th Street,no,261242036,
261140613,261140614,,321.774538,261140613,,residential,,,South Kenwood Avenue,-1,261140614,
261140614,261140615,,200.921939,261140614,,residential,,,South Kenwood Avenue,-1,261140615,
261176813,261176814,,160.381412,261176813,,residential,,,South Ellis Avenue,,261176814,
261176814,261176815,,126.246495,261176814,,residential,,,South Ellis Avenue,,261176815,
261176815,3259360444,,40.199848,261176815,,residential,,,South Ellis Avenue,,3259360444,
261198118,261202616,,101.03334,261198118,,secondary,,,Payne Drive,,261202616,
261202616,261185256,,284.93707,261202616,,tertiary,,,Payne Drive,,261185256,
261185256,386571657,,40.911326,261185256,,secondary,,,Payne Drive,,386571657,
386571657,261202623,,449.637534,386571657,,secondary,,,Payne Drive,,261202623,
261176763,261176765,,79.325198,261176763,,residential,,,South Ellis Avenue,,261176765,
261176765,261176766,,60.595286,261176765,,residential,,,South Ellis Avenue,,261176766,
712771004,712770993,,53.837044,712771004,,residential,2,,East 60th Street,,712770993,yes
269710868,261207130,,93.871084,269710868,,secondary,,,East Midway Plaisance,yes,261207130,
261207130,261160245,,112.767619,261207130,,secondary,,,East Midway Plaisance,yes,261160245,
261160245,261207129,,403.472763,261160245,,secondary,,,East Midway Plaisance,yes,261207129,
