geoid10,commarea,Pop2014,Pov14,lat,lon
17031842400,44,5157,769,        41.7424752,       -87.6300405
17031840300,59,5881,1021,        41.8320943,       -87.6818817
17031841100,34,3363,2742,        41.8510059,       -87.6350978
17031841200,31,3710,1819,        41.8555620,       -87.6833422
17031838200,28,3296,361,        41.8704160,       -87.6750801
17031650301,65,5744,759,        41.7749275,       -87.7299916
17031530503,53,5147,1640,        41.6637654,       -87.6373017
17031760803,76,7343,1877,        41.9753494,       -87.8441594
17031540102,54,3268,1789,        41.6673589,       -87.6054130
17031540101,54,3922,2724,        41.6501877,       -87.5994991
17031440201,44,5343,1604,        41.7482103,       -87.6100751
17031839000,32,5898,1250,        41.8710444,       -87.6314049
17031030601,77,3538,1045,        41.9887189,       -87.6572690
17031030604,77,2961,515,        41.9855320,       -87.6538542
17031020801,2,4512,788,        41.9868083,       -87.6944152
17031843300,29,3652,762,        41.8637636,       -87.6925498
17031080202,8,3533,159,        41.9058608,       -87.6309027
17031070102,7,2656,272,        41.9305837,       -87.6422038
17031031501,3,3430,1526,        41.9672850,       -87.6524494
17031031502,3,4386,1394,        41.9636331,       -87.6523665
17031834900,67,3335,1161,        41.7722942,       -87.6567342
17031834800,68,5554,836,        41.7836303,       -87.6450879
17031160502,16,4568,562,        41.9555845,       -87.7130885
17031140702,14,6252,1605,        41.9635481,       -87.7135750
17031842000,35,7989,146,        41.8349601,       -87.6251706
17031150402,15,3695,423,        41.9567977,       -87.7720431
17031834400,42,4342,1051,        41.7769450,       -87.5963101
17031040201,4,6195,1100,        41.9725805,       -87.6940006
17031040202,4,6691,1660,        41.9798549,       -87.6940960
17031020702,2,8232,1486,        41.9943625,       -87.7049915
17031020802,2,7942,2070,        41.9940593,       -87.6946308
17031020301,2,5239,380,        42.0068652,       -87.7051864
17031838700,29,5504,2412,        41.8625772,       -87.7201844
17031841500,29,5079,1497,        41.8616228,       -87.7079137
17031838600,29,2361,608,        41.8678232,       -87.7008234
17031837300,27,4802,731,        41.8716194,       -87.7055531
17031837800,28,4698,1009,        41.8847497,       -87.6841266
