geoid10,lat,lon,population,lower_areal_unit,access_Federall,access_sd_Federall,access_time_Federall
17031842400,41.7424751,-87.6300402,5157,44,0.0,0.0,0.0
17031840300,41.83209420000001,-87.6818817,5881,59,10.731206547387455,21.577185344620524,8.75
17031841100,41.8510057,-87.6350976,3363,34,3.3984164027624275,6.8331795009998615,22.216666666666665
17031841200,41.8555619,-87.6833421,3710,31,39.25714682033412,78.93415612707115,11.1
17031838200,41.8704157,-87.67507940000002,3296,28,13.61603650372044,27.377699050198622,9.216666666666667
17031650301,41.774927399999996,-87.7299913,5744,65,0.37979106122837947,0.7636440584912533,27.566666666666666
17031530503,41.6635979,-87.637412,5147,53,0.0,0.0,0.0
17031760803,41.9753463,-87.8441545,7343,76,0.0,0.0,0.0
17031540102,41.6673324,-87.60544909999999,3268,54,4.980000106665981,10.0132622406678,20.85
17031540101,41.650219899999996,-87.5997933,3922,54,4.6207299402590625,9.290879446606118,21.15
17031440201,41.7482101,-87.6100747,5343,44,0.0,0.0,0.0
17031839000,41.871043799999995,-87.6314037,5898,32,0.0,0.0,0.0
17031030601,41.988887,-87.6549376,3538,77,7.223807096518567,14.524874153439256,19.333333333333332
17031030604,41.98591939999999,-87.6527318,2961,77,2.3261621356243123,4.677203007915591,25.366666666666667
17031020801,41.9868083,-87.6944152,4512,2,23.54213673801724,47.3360610068833,10.0
17031843300,41.8637638,-87.6925502,3652,29,25.6812679335686,51.63720180396434,3.4
17031080202,41.905859299999996,-87.63089959999999,3533,8,16.436658432804194,33.049109984485234,14.083333333333334
17031070102,41.9305829,-87.6422022,2656,7,26.08290311104041,52.44476772182831,11.133333333333333
17031031501,41.9672843,-87.65244809999999,3430,3,43.18907797298629,86.8400711673252,5.35
17031031502,41.9636328,-87.6523659,4386,3,44.33766633162031,89.14953225070668,3.1
17031834900,41.772294099999996,-87.656734,3335,67,10.760126979712688,21.635335518673415,15.95
17031834800,41.7836301,-87.6450875,5554,68,16.9984070009251,34.17861512613874,9.15
