,BLOCKID10,POP10,CE01_2014,long,lat
759,170315401014011,0,-1,-87.59584140000001,41.6541815
817,170317403001009,0,-1,-87.72033929999999,41.6939478
820,170317403001018,47,2,-87.7167341,41.692448399999996
867,170317404004001,37,3,-87.7090623,41.6839049
868,170317504003009,14,15,-87.6850815,41.6833364
995,170315502002110,0,-1,-87.57225,41.644903899999996
996,170315502002117,0,-1,-87.5632933,41.6482201
1026,170315502002084,0,-1,-87.5750297,41.6508886
1027,170315401013010,369,131,-87.6035526,41.6536151
1028,170315401011003,93,9,-87.60554470000001,41.6540313
1029,170315401023008,26,23,-87.6081498,41.6531007
1030,170315401021053,712,56,-87.61432090000001,41.6575888
1031,170315306001032,0,-1,-87.619978,41.661639799999996
1036,170315502002113,0,-1,-87.54371809999999,41.6460773
1080,170317404001021,34,2,-87.70531020000001,41.689435700000004
1081,170317504001012,48,3,-87.69028399999999,41.6890211
1082,170317504001011,24,7,-87.6903186,41.6908167
1083,170317504002027,10,1,-87.6837852,41.6775098
1178,170317404003014,70,7,-87.7214637,41.6841156
1233,170315401011027,0,-1,-87.6082579,41.650625700000006
1234,170315401011007,7,1,-87.6113624,41.65112979999999
1366,170315401012016,0,-1,-87.61933520000001,41.6507188
1479,170317502004000,57,1,-87.67285490000002,41.693701000000004
1480,170317205002030,55,4,-87.68367049999999,41.70181470000001
1481,170317204002000,180,31,-87.68732490000001,41.7108757
1490,170317004014016,14,0,-87.7064693,41.742659
1494,170316504003008,70,9,-87.71470359999999,41.7630651
1495,170316504003007,74,2,-87.7153222,41.7630597
1496,170316505001015,18,1,-87.7242996,41.767478499999996
1497,170316505002024,54,3,-87.73195150000001,41.7685369
1498,170317004011050,0,-1,-87.7120012,41.7429914
1499,170316407002006,93,13,-87.7477328,41.7754223
1500,170316408002014,72,13,-87.7380996,41.7721056
1501,170316405002013,35,5,-87.7992995,41.775356
1502,170316715002013,74,8,-87.6747791,41.7659308
1503,170316607001013,0,-1,-87.678953,41.7728888
1504,170316719001033,39,5,-87.66127540000001,41.76062329999999
1505,170316720001006,35,1,-87.6646963,41.7637584
1506,170316720001015,32,0,-87.66651329999999,41.7637381
1507,170316720002003,80,5,-87.6677219,41.7637239
1508,170316720002006,47,3,-87.6695508,41.7637114
1509,170316720003000,22,2,-87.6716802,41.7645883
1510,170316604003006,88,7,-87.7116434,41.7808949
1511,170316603011020,46,2,-87.69768959999999,41.7793024
1512,170316501004014,40,4,-87.7216445,41.7829921
1513,170316203002017,77,2,-87.72662340000001,41.786120200000006
1514,170316203005006,71,3,-87.73062890000001,41.7869816
1515,170316203004008,89,10,-87.7319625,41.7903961
1516,170316203004004,39,2,-87.7313978,41.7919899
1517,170315604001003,0,-1,-87.7421931,41.8073963
1518,170315603001027,53,4,-87.751386,41.8063751
1519,170315705002007,95,8,-87.7328035,41.7976515
1520,170315705001006,0,-1,-87.7338443,41.8002692
1521,170315705002005,90,7,-87.731577,41.797718100000004
1525,170317403002015,37,3,-87.7061719,41.6942269
1529,170317505001010,85,6,-87.6798169,41.6892786
1530,170317204002026,3,0,-87.68966340000001,41.7072304
1545,170317005013023,45,7,-87.69223790000001,41.7472213
1546,170317001002008,5,-1,-87.6900558,41.752416100000005
1547,170317005015005,39,4,-87.7020067,41.747067
1548,170317004011027,28,5,-87.7084998,41.7439755
1551,170317001001012,90,8,-87.7086805,41.755027500000004
1552,170316407004004,43,4,-87.7571228,41.776785600000004
1553,170316406001012,94,12,-87.765291,41.77548710000001
1554,170316406002026,56,3,-87.7677182,41.7749849
1555,170315611006011,0,-1,-87.7804191,41.7877843
1556,170315609003016,31,5,-87.7888623,41.7934074
1559,170317203003012,67,8,-87.6787298,41.7109665
1560,170317105002000,23,1,-87.66649179999999,41.7501009
1561,170317111003020,8,0,-87.66245390000002,41.736046
1562,170317112002008,22,2,-87.66407059999999,41.7391956
1563,170317114001008,37,3,-87.6602805,41.734663700000006
1564,170317202003024,9,1,-87.6697218,41.7117051
1565,170317304002001,28,1,-87.6565091,41.720083
1566,170317304004012,74,58,-87.6539498,41.7151817
1567,170317202002015,13,1,-87.6611948,41.70699129999999
1568,170316715002003,0,-1,-87.6726771,41.7682104
1570,170317402001014,55,5,-87.7196437,41.704987
1581,170315502001025,0,-1,-87.55380720000001,41.661922
1582,170315501006009,0,-1,-87.5453673,41.659372999999995
1583,170315501006011,50,11,-87.54349690000001,41.6578513
1584,170315501001030,32,0,-87.54079509999998,41.6563802
1585,170315501001019,0,-1,-87.53947,41.6616414
1586,170315205003018,41,3,-87.5349628,41.6873001
1587,170315205003022,0,-1,-87.5322681,41.6872946
1588,170315205002018,53,12,-87.53137009999999,41.6927419
1589,170315205002010,43,3,-87.5307619,41.6981754
1590,170315204001006,38,5,-87.528937,41.7054609
1591,170316408002002,74,7,-87.7387991,41.7739191
1592,170316406003017,49,6,-87.7750704,41.7757474
1593,170316405002016,59,2,-87.7946511,41.775422600000006
1595,170317201002015,19,0,-87.681392,41.7293945
1596,170317005012022,0,-1,-87.6779954,41.7440273
1597,170317005013014,31,2,-87.69229709999999,41.7488039
1600,170317001001037,39,5,-87.7082249,41.7508504
1601,170316611002008,202,19,-87.69833630000001,41.758996200000006
1602,170316504005022,82,8,-87.7188014,41.7675584
1603,170316603023009,153,5,-87.6986968,41.7835891
1604,170316203004007,122,7,-87.7313517,41.7904044
1605,170315602003001,58,7,-87.7441561,41.8103422
1607,170315705002003,115,7,-87.73031,41.7977097
1611,170315608003010,1,-1,-87.7729614,41.7969818
1617,170318388002194,0,-1,-87.5618287,41.66764570000001
1618,170315301002030,24,0,-87.6202504,41.6794283
1619,170315306001004,23,2,-87.61747270000001,41.6771869
1620,170315306002000,15,1,-87.6183434,41.673293
1621,170315306002002,24,0,-87.62003390000001,41.6730523
1622,170315305021009,50,3,-87.6292306,41.6679393
1623,170315501002025,0,-1,-87.53908809999999,41.646842299999996
1624,170315204001001,88,2,-87.5313705,41.707305
1625,170315201001075,0,-1,-87.5267378,41.705821
1631,170316505001001,20,2,-87.7234837,41.7711334
1632,170316407001008,34,1,-87.74496620000001,41.777235600000004
1633,170316406002027,91,7,-87.7677301,41.775437
1634,170316408001018,66,4,-87.738846,41.7757383
1635,170316404002056,0,-1,-87.79685119999999,41.777844099999996
1636,170316405002001,62,22,-87.7947179,41.7772311
1637,170316404002042,0,-1,-87.7998267,41.7814349
1640,170317201002003,22,0,-87.6747395,41.733037700000004
1641,170317201002005,24,2,-87.67410509999999,41.730720500000004
1642,170317201002023,54,22,-87.67216459999999,41.727467299999994
1643,170315609003009,57,7,-87.78957729999999,41.796844
1647,170317203003001,74,16,-87.6763682,41.712829299999996
1648,170317203003013,66,7,-87.6775286,41.7109917
1649,170317206001009,16,1,-87.6806556,41.7052307
1650,170317112001017,94,7,-87.66506120000001,41.74281679999999
1651,170317105001008,140,14,-87.66428379999999,41.7476125
1652,170317111002023,0,-1,-87.6588069,41.7360995
1653,170317202003029,84,16,-87.6716485,41.7096135
1654,170317302015019,19,2,-87.6572166,41.7215275
1655,170317302015013,32,4,-87.6563208,41.7224443
1656,170317304002010,57,3,-87.6541222,41.719463
1657,170316607002002,90,5,-87.68120350000001,41.77288789999999
1658,170316714002011,24,3,-87.67666379999999,41.77045570000001
1659,170316814002010,15,2,-87.6536844,41.760506799999995
1660,170318388002228,0,-1,-87.5601267,41.6599239
1661,170315501003010,83,5,-87.54683829999999,41.650937
1662,170315304002002,0,-1,-87.65587990000002,41.6770638
1663,170315304002000,0,-1,-87.6525161,41.6767699
1664,170317506004007,0,-1,-87.6611994,41.690705200000004
1665,170315305032028,30,4,-87.64012659999999,41.6696391
1666,170315305032055,44,7,-87.63607409999999,41.665118799999995
1667,170317506004009,0,-1,-87.6621475,41.6903264
1668,170317403002011,31,2,-87.7062716,41.6976517
1684,170317005012024,39,10,-87.6818491,41.7457984
1685,170317001002034,41,8,-87.7009469,41.7523608
1686,170317004011032,54,7,-87.7029042,41.7485843
1687,170317001002050,4,-1,-87.6985163,41.752919299999995
1688,170317001002025,0,-1,-87.70148990000001,41.754384
1689,170316611002011,47,5,-87.70115030000001,41.759908
1690,170316611004012,85,4,-87.706128,41.763188299999996
1691,170316611005004,74,10,-87.70888659999999,41.7631516
1692,170316503014015,80,10,-87.7235053,41.772268700000005
1693,170316503012001,82,5,-87.7308735,41.7740087
1694,170319801001009,0,2,-87.7408397,41.786392
1695,170318352001060,0,-1,-87.7473875,41.7940307
1696,170316604002007,77,3,-87.7068295,41.7809681
1697,170316603023003,93,8,-87.69934740000001,41.785171000000005
1699,170315609003001,16,1,-87.78901309999999,41.7992511
1700,170317206001013,31,2,-87.6782427,41.7052745
1701,170317106002009,0,-1,-87.6630538,41.7476185
1702,170317203003032,82,13,-87.6739749,41.7072937
1703,170317302012024,0,-1,-87.65355550000001,41.721567900000004
1704,170317302012025,0,-1,-87.6547863,41.7215583
1705,170317304004004,42,3,-87.6525804,41.718712
1706,170317306002023,0,-1,-87.65169709999999,41.7136065
1707,170317302012009,0,-1,-87.6549722,41.7295333
1708,170316607001015,77,9,-87.681258,41.774705
1709,170316714002016,62,2,-87.6748825,41.7704665
1710,170316714001003,0,-1,-87.67767309999999,41.777514200000006
1711,170316607001001,1,-1,-87.679385,41.777361299999995
1712,170316814002012,50,47,-87.6524849,41.7605313
1713,170317106002002,36,63,-87.66311379999999,41.7494476
1714,170317102003001,0,-1,-87.6508524,41.75773770000001
1715,170315501003030,18,1,-87.54290879999999,41.6484259
1717,170317403002002,40,6,-87.7028428,41.6979225
1718,170317403002003,186,14,-87.70472990000002,41.69790020000001
1719,170317505002005,92,6,-87.67820959999999,41.6831742
1720,170317505002003,0,-1,-87.6769551,41.6842863
1721,170317505001002,175,15,-87.679307,41.691306
1722,170317503002014,89,12,-87.6821797,41.6929381
1723,170317205001001,39,9,-87.68748769999999,41.705649
1724,170317205002040,0,-1,-87.6869515,41.70170220000001
1725,170317401002003,38,5,-87.6985305,41.7016392
1759,170316408001003,0,-1,-87.7404497,41.778223
1760,170316404002016,16,1,-87.7906229,41.7833326
1761,170315610004015,52,6,-87.7934861,41.7857405
1764,170317005012014,13,1,-87.67998109999999,41.746148299999994
1765,170317113002014,0,-1,-87.670292,41.7326429
1766,170317201003004,58,5,-87.6721098,41.7256436
1767,170317201003010,83,1,-87.6660439,41.7249701
1768,170317001002000,0,-1,-87.6784162,41.753727399999995
1769,170316610003016,30,5,-87.68646070000001,41.7586745
1770,170317005012002,0,-1,-87.68165040000001,41.7496588
1771,170315609001003,42,4,-87.7841384,41.7987409
1772,170317206002009,35,2,-87.6793458,41.701840999999995
1773,170317502002004,83,7,-87.6706935,41.697368299999994
1774,170317306002061,57,4,-87.65228590000001,41.7079738
1775,170316714001021,0,-1,-87.6756135,41.7747755
1776,170316814002007,43,5,-87.6531747,41.7639336
1777,170316814003014,47,5,-87.6482064,41.759008200000004
1788,170318388002109,0,-1,-87.56474720000001,41.671182
1789,170318388002104,0,-1,-87.568597,41.67117329999999
1790,170318388002099,0,-1,-87.5685979,41.6728362
1791,170318388002106,0,-1,-87.5921595,41.701041700000005
1815,170316610005017,45,21,-87.6913687,41.760044799999996
1816,170316609003038,0,-1,-87.7073907,41.767961299999996
1817,170316503011019,68,2,-87.7315483,41.7758293
1818,170316401001008,0,-1,-87.7398061,41.7842195
1819,170319801001001,0,1,-87.7391369,41.787656899999995
1820,170316403004017,18,3,-87.7693906,41.7842052
1821,170316404002051,29,4,-87.7883666,41.779872499999996
1822,170315610003020,49,4,-87.79102040000001,41.7857695
1823,170315610004009,75,4,-87.7932387,41.7875753
1824,170316604002003,93,3,-87.7068511,41.78187
1825,170318350004014,62,6,-87.6903622,41.77940170000001
1826,170316606001013,96,3,-87.68630259999999,41.776480299999996
1827,170316608001003,78,3,-87.6856502,41.774675
1828,170316606002005,103,8,-87.688188,41.778042299999996
1829,170316501001017,107,6,-87.7167408,41.7826232
1830,170316501004004,92,7,-87.7192622,41.784861799999995
1831,170316204003011,90,8,-87.72176040000001,41.7866386
1832,170315602002006,0,-1,-87.74527990000001,41.8115989
1834,170315608003015,6,1,-87.7751806,41.7940545
1835,170314914003022,8,0,-87.61740019999999,41.685573100000006
1836,170315306003032,32,8,-87.6197208,41.673894399999995
1837,170315305021008,27,0,-87.62931429999999,41.6697604
1838,170315501004015,39,1,-87.5492781,41.6527679
1839,170315502002126,44,17,-87.5516921,41.654600099999996
1840,170315502001000,0,-1,-87.5568925,41.6680435
1841,170315303004010,60,2,-87.65696080000001,41.6821521
1842,170317501003016,0,-1,-87.6601683,41.6935254
1843,170317505003056,32,2,-87.6726236,41.6848131
1844,170317505003050,138,12,-87.6678004,41.685874299999995
1858,170317201002026,35,1,-87.677094,41.727395200000004
1859,170317112004019,20,4,-87.67236390000001,41.7431821
1860,170317113002016,66,5,-87.6670075,41.731255100000006
1861,170317201002024,54,25,-87.6753889,41.7274233
1862,170317303001012,20,2,-87.6657221,41.7268456
1863,170317303001004,60,6,-87.66500529999999,41.7293382
1864,170317112004062,36,3,-87.6707321,41.7381919
1865,170316610005011,85,10,-87.69203759999999,41.7618191
1866,170316609003039,0,-1,-87.7056512,41.7679227
1867,170316609003026,74,10,-87.6921344,41.765463200000006
1868,170316609003023,52,5,-87.69218409999999,41.7670601
1869,170316501001016,92,10,-87.7143922,41.782659
1870,170316604004002,75,7,-87.71177929999999,41.7854374
1871,170316309002014,0,-1,-87.71299040000001,41.7870184
1872,170316603023000,32,1,-87.6978551,41.7861076
1873,170316604001000,74,7,-87.7036322,41.7853363
1874,170318350004004,106,4,-87.69012540000001,41.7819024
1875,170318350004003,108,5,-87.68949609999999,41.7819023
1876,170316204003012,93,6,-87.71929159999999,41.7866695
1877,170316202001001,29,8,-87.7244512,41.79618789999999
1878,170315602001007,27,40,-87.75145970000001,41.8121538
1879,170315703003015,72,2,-87.7298355,41.801711499999996
1880,170315702001018,53,25,-87.7287576,41.808950200000005
1881,170315705001018,0,-1,-87.72587259999999,41.7993532
1883,170315609001020,31,12,-87.7839807,41.7934897
1884,170317402001003,182,44,-87.7147539,41.7075527
1888,170317503002002,56,5,-87.68282420000001,41.6945219
1889,170317503002019,48,4,-87.6848228,41.6929055
1890,170317205002021,47,2,-87.6849464,41.7036287
1891,170317401001002,19,1,-87.6998928,41.7066527
1903,170316203006002,83,5,-87.7372011,41.7928479
1904,170318352001059,0,-1,-87.73975329999999,41.7939485
1905,170318352001012,65,9,-87.7463083,41.799473799999994
1906,170318352001023,21,0,-87.7523511,41.798038399999996
1907,170318352001046,4,0,-87.741908,41.7962867
1908,170315608001031,0,-1,-87.7637843,41.7940396
1909,170315611002012,30,1,-87.76786640000002,41.7864313
1910,170316403006015,82,8,-87.7749493,41.78054829999999
1911,170316404002018,35,6,-87.7881926,41.7833746
1912,170315610005006,86,9,-87.7945233,41.7893847
1913,170315610005007,43,2,-87.79544,41.789371
1914,170317201001020,47,3,-87.6790555,41.721893
1917,170317505004032,0,-1,-87.6623436,41.6801493
1919,170315305031031,39,4,-87.6392112,41.659701
1920,170317505004030,49,13,-87.6702988,41.6784236
1942,170317004022004,0,-1,-87.711885,41.7370034
1944,170317004022020,36,1,-87.7154129,41.7365625
1947,170317003024054,32,2,-87.72568509999999,41.7350392
1948,170317003021028,43,4,-87.73298309999998,41.7349231
1949,170317002002011,62,5,-87.738323,41.7494529
1950,170317303001017,64,4,-87.66369990000001,41.7257261
1952,170316608004012,34,2,-87.6962735,41.7720082
1953,170316609003040,0,-1,-87.7021618,41.768001500000004
1954,170316503013010,63,28,-87.72427009999998,41.7775072
1955,170315611001005,62,4,-87.76554990000001,41.789917200000005
1957,170317402002007,83,6,-87.7188772,41.701130299999996
1959,170317402002001,178,15,-87.7127487,41.7005189
1960,170317403004007,58,25,-87.7126536,41.697967799999994
1964,170317504001015,60,1,-87.6878269,41.6889951
1965,170317503003003,75,14,-87.6905093,41.6962566
1976,170318388002166,0,-1,-87.5672463,41.6728598
1977,170318388002161,0,-1,-87.5699016,41.675183700000005
1978,170318388002150,0,-1,-87.570339,41.6789256
1979,170318388002133,0,-1,-87.5685881,41.683536
1980,170318388002131,0,-1,-87.5660167,41.683582799999996
1981,170315003002007,0,-1,-87.6088343,41.6914401
1982,170314914001003,33,1,-87.61160229999999,41.6920896
1983,170315003001011,98,11,-87.60680009999999,41.6900137
1984,170315003002004,42,17,-87.60750970000001,41.6916917
1985,170314914003021,27,8,-87.6177647,41.686494
1986,170314914002027,0,-1,-87.62109570000001,41.6857835
1987,170315301002025,3,1,-87.6208949,41.6803231
1988,170315302002000,60,5,-87.62300379999999,41.678935100000004
1989,170317003013017,152,12,-87.73363,41.743351200000006
1994,170317004022022,46,1,-87.7131137,41.737054799999996
1995,170317004022002,25,11,-87.7150353,41.7392993
1997,170317002002002,191,14,-87.7359511,41.75086339999999
1998,170317003013000,29,2,-87.73218349999999,41.7490255
1999,170316505003026,0,-1,-87.7409578,41.7597977
2002,170316403006011,54,4,-87.77563549999999,41.7823726
2003,170316403006009,46,3,-87.7768417,41.7823417
2004,170316404001009,106,11,-87.78395069999999,41.783438200000006
2005,170315610003011,40,3,-87.79054959999999,41.7894456
2006,170315610004002,27,1,-87.7924376,41.7909958
2008,170317105003007,68,18,-87.6703278,41.747528700000004
2009,170317303001000,63,12,-87.6646246,41.7318477
2010,170317302011005,0,-1,-87.66246269999999,41.725765100000004
2011,170317112003005,31,2,-87.67016290000001,41.7402468
2012,170316610002004,52,3,-87.67970009999999,41.7617815
2013,170316720004002,124,12,-87.677336,41.7637225
2014,170316610001000,0,-1,-87.6790814,41.76659620000001
2015,170316720004012,0,-1,-87.6705304,41.7577421
2016,170316610004007,51,3,-87.68717609999999,41.7634909
2017,170317402004013,84,4,-87.7043075,41.703398299999996
2018,170316609003034,57,4,-87.6890838,41.7657352
2019,170316503021011,0,-1,-87.7130428,41.7774576
2032,170315305013014,38,1,-87.63298370000001,41.6715407
2033,170315501001069,39,0,-87.5377608,41.6527513
2034,170315501001084,0,-1,-87.5302657,41.6566256
2035,170315501001037,6,1,-87.53716340000001,41.6557326
2036,170315502002124,0,-1,-87.55161770000001,41.656415
2037,170315501006033,52,0,-87.5468305,41.6545923
2038,170317506004040,26,11,-87.65720859999999,41.686657399999994
2039,170317501003035,0,-1,-87.6604151,41.69352979999999
2040,170317501003005,46,2,-87.6587834,41.6971894
2041,170317505003000,21,4,-87.6629034,41.6915562
2042,170317505003003,0,-1,-87.6673717,41.6916308
2050,170317003024034,0,-1,-87.7276547,41.7393304
2051,170317002004006,116,10,-87.7305023,41.7520905
2052,170316505003022,2,0,-87.7290849,41.7604757
2053,170317003011006,106,10,-87.7309647,41.7458347
2054,170317003024032,39,2,-87.727991,41.7409182
2055,170317003024029,30,1,-87.7262121,41.740964899999994
2058,170317005022011,93,3,-87.70089920000001,41.7394551
2059,170316606005017,89,8,-87.7003215,41.77627460000001
2060,170316609003014,56,20,-87.69040559999999,41.7693665
2061,170316502002007,97,7,-87.7274265,41.781338700000006
2062,170315705002014,52,4,-87.7361923,41.7994838
2063,170315705002023,0,-1,-87.7374537,41.79996320000001
2064,170316403006006,104,6,-87.776014,41.7835875
2065,170315609006014,32,4,-87.79618690000001,41.7932852
2066,170315609006012,57,2,-87.797442,41.7932578
2071,170315502002098,0,-1,-87.571887,41.6497524
2072,170318388002218,0,-1,-87.5839328,41.660373
2073,170315301001022,155,17,-87.61519129999999,41.682943
2074,170315306001022,37,2,-87.61837109999999,41.6643916
2076,170317503001022,22,2,-87.6818269,41.696211299999995
2077,170317204002018,52,5,-87.688857,41.7108697
2078,170317204002003,22,1,-87.6910892,41.713328000000004
2081,170317004023012,35,4,-87.710626,41.740299900000004
2082,170317004021000,87,7,-87.713049,41.7409623
2086,170317003024002,31,2,-87.72348459999999,41.7419119
2087,170317004021018,0,-1,-87.72128640000001,41.73988789999999
2088,170317002003002,93,9,-87.71939240000002,41.7539099
2089,170317002001020,22,1,-87.7211591,41.751596299999996
2090,170317002001009,63,10,-87.72135250000001,41.7560395
2091,170317002001001,4,-1,-87.71921440000001,41.757025399999996
2092,170317004012031,39,7,-87.7202448,41.7451864
2095,170317005014041,24,0,-87.6954773,41.742805499999996
2096,170317203003007,0,-1,-87.681507,41.7122412
2097,170317104006018,0,-1,-87.6737449,41.7504468
2098,170317112003018,4,0,-87.66734340000001,41.7359932
2099,170317302014020,64,10,-87.66252440000001,41.7276083
2100,170317306001005,43,3,-87.659044,41.7126902
2101,170317302014006,0,-1,-87.6624041,41.732112799999996
2102,170316720004010,45,2,-87.6749348,41.7602104
2103,170316715002016,0,-1,-87.6780549,41.7665425
2104,170316607002018,0,-1,-87.67912059999999,41.769284000000006
2105,170316609002016,78,3,-87.685408,41.765797
2106,170316609002012,84,9,-87.6878573,41.7657586
2107,170316501002020,0,-1,-87.712841,41.779760100000004
2108,170316608003003,142,15,-87.692966,41.774529
2109,170316606004012,106,11,-87.6960684,41.77633970000001
2110,170316502002004,76,5,-87.72557090000001,41.7813508
2112,170315304001033,41,2,-87.6511459,41.6713124
2115,170315305033046,12,1,-87.6350368,41.6610114
2116,170317402002003,176,18,-87.7151865,41.7004767
2120,170317403003001,37,3,-87.70797850000001,41.694199700000006
2132,170317004023004,51,5,-87.7106445,41.7412124
2136,170317002001015,0,-1,-87.7131647,41.751985
2137,170317004013032,47,2,-87.7180444,41.742472899999996
2144,170317005014032,19,1,-87.6970906,41.7453257
2145,170317005022002,44,4,-87.7007444,41.741836
2146,170316203006010,87,3,-87.7350151,41.7903645
2147,170315603001034,53,2,-87.7495026,41.8048028
2148,170315607002024,67,3,-87.756648,41.797693
2149,170315608002027,198,15,-87.7706786,41.7936001
2150,170316403003003,111,6,-87.7799163,41.7844049
2151,170315610003005,66,1,-87.7884186,41.7894826
2152,170315610003007,39,0,-87.7899965,41.791038799999995
2155,170317203004004,56,2,-87.6776878,41.716451899999996
2156,170317204001011,46,5,-87.68333390000001,41.7109454
2157,170317112001011,34,0,-87.66752009999999,41.7432495
2158,170317114001023,0,-1,-87.66264890000001,41.7330938
2159,170317302011001,82,6,-87.6600583,41.7258137
2160,170317401004005,0,-1,-87.7002261,41.6918029
2161,170317504001018,36,5,-87.68557170000001,41.6888509
2162,170317504001007,53,4,-87.6869693,41.690824400000004
2163,170317503003010,85,84,-87.68924200000001,41.6944432
2164,170317503003001,79,10,-87.6893516,41.6980877
2165,170317401004006,3,0,-87.69900909999998,41.691816700000004
2174,170318388002186,0,-1,-87.5597763,41.6728853
2175,170318388002153,0,-1,-87.56860329999999,41.6786701
2176,170318388002140,0,-1,-87.57003890000001,41.6819019
2177,170318388002142,0,-1,-87.56858570000001,41.6819251
2178,170318388002130,0,-1,-87.56601579999999,41.6819471
2179,170318388002071,0,-1,-87.57110859999999,41.7041546
2180,170318388002107,0,-1,-87.5868064,41.7073592
2181,170315001004019,0,-1,-87.5860278,41.7092205
2182,170315103003024,0,-1,-87.5761609,41.7098195
2183,170315001004002,0,-1,-87.5878578,41.717071000000004
2184,170314914003001,62,3,-87.618939,41.6923794
2185,170314914002000,132,5,-87.618548,41.6899209
2186,170314909021000,0,-1,-87.6081603,41.70191129999999
2187,170315003001008,18,4,-87.6057071,41.6915077
2188,170315305013004,91,7,-87.6327309,41.6733664
2191,170317005021028,135,77,-87.6884396,41.7371355
2193,170317002001014,105,14,-87.71529,41.7546911
2197,170317005014018,0,-1,-87.69497259999999,41.745686600000006
2198,170317202002004,54,4,-87.66244990000001,41.712603
2199,170316720003013,80,10,-87.67376490000001,41.7620716
2200,170316719001035,25,3,-87.662561,41.7601542
2201,170316720001008,14,2,-87.6640283,41.7621717
2202,170316720002014,53,4,-87.6676987,41.7621433
2203,170316609002001,14,0,-87.6842473,41.7680906
2204,170316609002003,32,1,-87.6864242,41.768075
2205,170316604003014,4,0,-87.71157679999999,41.779072799999994
2206,170316605001007,56,1,-87.7067339,41.7773096
2207,170316203004003,67,7,-87.7320119,41.7919852
2208,170315703004006,0,-1,-87.736951,41.8058425
2220,170315501001043,0,-1,-87.5251263,41.6574067
2221,170315502001010,56,5,-87.5556531,41.6655211
2222,170315303002020,35,0,-87.64714140000001,41.6800886
2223,170315303002016,39,6,-87.6502609,41.6822411
2224,170315304001000,7,1,-87.6429283,41.6771511
2225,170317506003003,13,2,-87.6557309,41.6915123
2226,170317505003006,0,-1,-87.66899690000001,41.691768700000004
2229,170317005021030,37,4,-87.6889458,41.7358617
2231,170317004013037,47,3,-87.71555620000001,41.7415852
2232,170316504003015,98,3,-87.71465,41.7614569
2233,170316504003016,93,9,-87.71527040000001,41.7614758
2234,170317004012004,56,4,-87.7134433,41.748948600000006
2235,170317004012029,57,3,-87.71332209999998,41.7452935
2236,170316407004015,0,-1,-87.7579614,41.7749348
2241,170317005021006,129,9,-87.6882264,41.740587
2242,170317005013035,42,5,-87.692208,41.7454065
2243,170315608002013,52,6,-87.76884609999999,41.797210299999996
2244,170315611004024,34,0,-87.772736,41.78633
2245,170315610001015,53,4,-87.7818806,41.785923700000005
2246,170315609003014,0,-1,-87.79103409999999,41.7950033
2247,170315609005008,103,3,-87.797221,41.796731799999996
2250,170317203004013,63,5,-87.6776376,41.714633899999995
2251,170317105002005,98,4,-87.66669920000001,41.7475767
2252,170317202003022,42,2,-87.6717287,41.712907799999996
2253,170317304004019,51,5,-87.6566726,41.7151927
2254,170317302014001,40,3,-87.6602,41.7312237
2256,170315301001001,145,6,-87.6146596,41.6847052
2257,170315301001014,81,6,-87.61735340000001,41.683614899999995
2258,170315306001015,49,2,-87.6163618,41.6748874
2259,170315306002025,23,2,-87.6198673,41.6698802
2260,170315303004038,45,2,-87.6571425,41.677848700000006
2261,170315303004031,38,4,-87.65867929999999,41.6787365
2262,170315304001025,49,6,-87.64627490000001,41.671386600000005
2263,170315304001031,47,4,-87.6499253,41.6713325
2264,170317505004015,59,25,-87.6708509,41.6809536
2265,170317110002023,109,10,-87.6445757,41.7388033
2266,170317110002014,0,-1,-87.6455179,41.738767200000005
2267,170317301002019,11,5,-87.6389939,41.721754
2268,170314907003011,58,6,-87.63052059999998,41.71163060000001
2269,170314907001007,56,6,-87.6281632,41.7133963
2270,170314906001051,0,-1,-87.6240994,41.7164851
2271,170314906001001,0,-1,-87.62459969999999,41.719587700000005
2272,170317305001000,0,-1,-87.6336673,41.7197432
2273,170316118002009,18,3,-87.66918609999999,41.796239899999996
2274,170316703001003,50,4,-87.66663570000001,41.7912706
2275,170316702001013,29,3,-87.663028,41.792705299999994
2276,170316812001004,0,-1,-87.643556,41.767942299999994
2277,170317101001023,0,-1,-87.6410202,41.7508896
2282,170318424003033,0,-1,-87.6373262,41.7441404
2283,170318340001022,8,1,-87.6307593,41.7280459
2284,170314701001040,0,-1,-87.60410329999999,41.722813
2285,170316104001005,288,12,-87.66837609999999,41.8112923
2286,170316111003005,171,4,-87.65851579999999,41.8059574
2287,170316809004000,74,4,-87.6384666,41.779494
2288,170316805002016,48,3,-87.6502179,41.789688700000006
2289,170318348003013,0,-1,-87.64456740000001,41.7846064
2290,170316809002014,0,-1,-87.6356313,41.778613
2291,170316910003005,0,-1,-87.6244078,41.76097070000001
2292,170318424001027,52,0,-87.6254699,41.746334399999995
2293,170312909004018,0,-1,-87.7392412,41.860839399999996
2294,170312924002013,25,4,-87.7245173,41.854209499999996
2295,170312925001012,60,10,-87.7282564,41.857682000000004
2296,170312909004014,60,6,-87.7346018,41.8648836
2300,170317111001011,0,-1,-87.6537647,41.7404879
2301,170317302021011,44,3,-87.6492126,41.7296048
2302,170317302021017,47,2,-87.6491568,41.7277791
2303,170317302021022,0,-1,-87.6463489,41.7278626
2304,170317304003003,33,5,-87.645206,41.716739200000006
2305,170317501004009,77,2,-87.6508919,41.693616799999994
