,BLOCKID10,POP10,CE01_2014,long,lat
53950,170311707003007,62,9,-87.8237368,41.9421697
53955,170311707001015,58,3,-87.8200446,41.9422347
53956,170311704004027,8,0,-87.8147306,41.949112299999996
53960,170317608033002,181,14,-87.8394605,41.9760604
53985,170318388002001,0,-1,-87.545594,41.67830429999999
53986,170315203001006,85,4,-87.5392241,41.707301799999996
53987,170315202002009,95,2,-87.53740479999999,41.7110018
53988,170314606001005,87,6,-87.5593625,41.73636870000001
53989,170318339001023,0,-1,-87.5391466,41.7307819
53990,170314604003009,44,4,-87.56460030000001,41.7435752
53991,170314605002001,46,2,-87.56707850000001,41.747174900000005
53992,170314603012015,55,7,-87.5608608,41.7381701
53993,170314605006003,50,3,-87.5731858,41.7489108
53994,170318342001017,3,-1,-87.5778238,41.7517786
53995,170318358001009,55,4,-87.6193321,41.813878700000004
53996,170314112001009,59,12,-87.59608320000001,41.7923652
54025,170312505007004,194,14,-87.8055897,41.917343
54026,170311703005005,49,4,-87.8057052,41.9514925
54027,170311703003008,58,8,-87.8007819,41.9515755
54028,170311703002009,34,6,-87.79835809999999,41.9515906
54029,170311005002002,102,18,-87.81042740000001,41.9771229
54030,170311006003033,0,-1,-87.8068085,41.975920200000004
54032,170311007005004,0,-1,-87.80658559999999,41.9743214
54034,170314112001002,43,1,-87.59598270000001,41.7942857
54035,170314301013005,51,4,-87.5748965,41.770733899999996
54036,170318439004002,339,23,-87.57071690000001,41.770774700000004
54038,170318369001002,92,12,-87.70492759999999,41.88211879999999
54039,170312315003016,15,0,-87.7182381,41.889098
54040,170312602001011,52,34,-87.72702890000001,41.884865000000005
54041,170312602001004,18,5,-87.7295312,41.88701
54042,170312516003003,47,5,-87.7552575,41.8939703
54043,170312515001001,61,2,-87.7564732,41.8939521
54044,170312513003001,109,47,-87.7700499,41.897518299999994
54046,170318374001013,56,8,-87.6950212,41.879046200000005
54064,170311005005042,11,0,-87.8331676,41.974717
54073,170311006004012,0,-1,-87.80664420000001,41.981886700000004
54074,170311005002000,45,4,-87.80861429999999,41.9781051
54090,170318380002021,0,-1,-87.6777452,41.8760106
54091,170313301004052,0,-1,-87.6251806,41.8535927
54092,170313206002003,167,30,-87.62641590000001,41.8737639
54093,170313206001007,0,-1,-87.6218233,41.8693847
54094,170313204001020,1,-1,-87.62653,41.878873
54095,170312819003003,0,-1,-87.64040240000001,41.8808899
54096,170312801001037,0,-1,-87.6461464,41.8823537
54097,170312819003015,0,-1,-87.6467328,41.881151200000005
54098,170318330001062,96,4,-87.6514665,41.8823915
54099,170318392002014,0,-1,-87.62338199999999,41.8402491
54100,170318410001052,0,-1,-87.6217662,41.847656
54101,170313515002005,47,9,-87.62700290000001,41.828897399999995
54102,170318359001004,0,-1,-87.62604759999999,41.8228286
54131,170311005005011,50,7,-87.83101040000001,41.9794989
