geoid10,population,lon,lat,community
170310101001000,128,       -87.6667632,        42.0226661,1
170310101001001,71,       -87.6688056,        42.0226013,1
170310101001002,45,       -87.6688163,        42.0219225,1
170310101001003,335,       -87.6683640,        42.0214707,1
170310101002000,152,       -87.6708861,        42.0226895,1
170310101002001,45,       -87.6721148,        42.0227650,1
170310101002002,363,       -87.6746190,        42.0227738,1
170310101002003,42,       -87.6704200,        42.0219473,1
170310101002004,154,       -87.6710268,        42.0218431,1
170310101002005,151,       -87.6715995,        42.0218462,1
170310101002006,193,       -87.6721726,        42.0218442,1
170310101002007,143,       -87.6727701,        42.0218519,1
170310101002008,274,       -87.6736587,        42.0218630,1
170310101002009,0,       -87.6746557,        42.0222427,1
170310101002010,149,       -87.6746642,        42.0212069,1
170310101002011,223,       -87.6724991,        42.0202797,1
170310101002012,120,       -87.6710071,        42.0202650,1
170310101002013,302,       -87.6697968,        42.0202543,1
170310101003000,268,       -87.6646961,        42.0210507,1
170310101003003,148,       -87.6657040,        42.0216313,1
170310101003004,291,       -87.6663017,        42.0213841,1
170310101003005,174,       -87.6651185,        42.0200019,1
170310101003006,171,       -87.6658134,        42.0198468,1
170310101003007,182,       -87.6665269,        42.0196784,1
170310101003008,192,       -87.6672363,        42.0203275,1
170310101003009,114,       -87.6678743,        42.0206335,1
170310101003010,153,       -87.6685518,        42.0202500,1
170310101003011,236,       -87.6691650,        42.0202455,1
170310101003012,35,       -87.6674223,        42.0194664,1
170310102011000,141,       -87.6807613,        42.0155048,1
170310102011001,74,       -87.6813751,        42.0155193,1
170310102011002,68,       -87.6820019,        42.0155228,1
170310102011003,75,       -87.6826685,        42.0155241,1
170310102011004,117,       -87.6822119,        42.0148872,1
170310102011005,107,       -87.6808593,        42.0148017,1
170310102011006,151,       -87.6821164,        42.0143307,1
170310102011007,237,       -87.6834943,        42.0145844,1
170310102011008,138,       -87.6830486,        42.0132521,1
170310102011009,42,       -87.6821009,        42.0137565,1
170310102011010,134,       -87.6815516,        42.0133675,1
170310102011011,32,       -87.6808482,        42.0142355,1
170310102011012,62,       -87.6812364,        42.0127723,1
170310102011013,67,       -87.6807313,        42.0132784,1
170310102012000,40,       -87.6771709,        42.0186202,1
170310102012001,66,       -87.6779736,        42.0186607,1
170310102012002,133,       -87.6786937,        42.0186718,1
170310102012003,74,       -87.6793791,        42.0188969,1
170310102012004,0,       -87.6801179,        42.0192212,1
170310102012005,0,       -87.6810336,        42.0192171,1
170310102012006,19,       -87.6823185,        42.0192372,1
170310102012007,0,       -87.6834201,        42.0191097,1
170310102012008,111,       -87.6842011,        42.0187391,1
170310102012009,86,       -87.6819692,        42.0186955,1
170310102012010,36,       -87.6813511,        42.0186957,1
170310102012011,45,       -87.6807105,        42.0186684,1
170310102012012,76,       -87.6801278,        42.0184598,1
