geoid10,population,lon,lat,community
170310102012013,36,       -87.6794416,        42.0181616,1
170310102012014,88,       -87.6794038,        42.0172743,1
170310102012015,413,       -87.6801088,        42.0172773,1
170310102012016,82,       -87.6810609,        42.0177341,1
170310102012017,127,       -87.6810521,        42.0181608,1
170310102012018,77,       -87.6823171,        42.0181720,1
170310102012019,35,       -87.6826416,        42.0186976,1
170310102012020,0,       -87.6834078,        42.0185795,1
170310102012021,104,       -87.6834217,        42.0181821,1
170310102012022,26,       -87.6833991,        42.0177514,1
170310102012023,79,       -87.6823293,        42.0177463,1
170310102012024,378,       -87.6801394,        42.0151848,1
170310102012025,234,       -87.6810558,        42.0167489,1
170310102012026,50,       -87.6813372,        42.0172777,1
170310102012027,116,       -87.6819878,        42.0172890,1
170310102012028,35,       -87.6826591,        42.0172948,1
170310102012029,15,       -87.6833398,        42.0173115,1
170310102012030,175,       -87.6840253,        42.0172063,1
170310102012031,82,       -87.6832618,        42.0167586,1
170310102012032,71,       -87.6823349,        42.0167658,1
170310102012033,80,       -87.6823403,        42.0161999,1
170310102012034,105,       -87.6810598,        42.0161826,1
170310102012035,105,       -87.6832329,        42.0158525,1
170310102012036,210,       -87.6838435,        42.0158219,1
170310102012037,56,       -87.6780165,        42.0172755,1
170310102012038,135,       -87.6786957,        42.0172679,1
170310102012039,26,       -87.6807535,        42.0172756,1
170310102012040,246,       -87.6794293,        42.0153471,1
170310102013000,155,       -87.6776040,        42.0160933,1
170310102013001,51,       -87.6785986,        42.0142903,1
170310102013002,52,       -87.6778382,        42.0145222,1
170310102013003,88,       -87.6770815,        42.0147022,1
170310102013004,157,       -87.6767904,        42.0135008,1
170310102013005,183,       -87.6764063,        42.0143789,1
170310102013006,10,       -87.6778366,        42.0141021,1
170310102013007,57,       -87.6773875,        42.0139536,1
170310102013008,69,       -87.6786054,        42.0138928,1
170310102013009,28,       -87.6793793,        42.0138489,1
170310102013010,112,       -87.6792519,        42.0134026,1
170310102013011,171,       -87.6792345,        42.0128394,1
170310102021000,61,       -87.6720045,        42.0187973,1
170310102021001,194,       -87.6739867,        42.0183568,1
170310102021002,0,       -87.6763282,        42.0185937,1
170310102021003,0,       -87.6758442,        42.0168746,1
170310102021004,406,       -87.6746558,        42.0171043,1
170310102021005,174,       -87.6736753,        42.0162684,1
170310102021006,16,       -87.6728426,        42.0168411,1
170310102021007,127,       -87.6712264,        42.0174582,1
170310102021008,0,       -87.6703394,        42.0181184,1
170310102021009,132,       -87.6713233,        42.0167590,1
170310102021010,0,       -87.6724059,        42.0167458,1
170310102021011,5,       -87.6723968,        42.0162356,1
170310102021012,130,       -87.6712571,        42.0162366,1
170310102021013,20,       -87.6704072,        42.0169668,1
170310102022000,33,       -87.6713811,        42.0157080,1
170310102022001,78,       -87.6738035,        42.0150641,1
170310102022002,1,       -87.6753571,        42.0142049,1
170310102022003,68,       -87.6735855,        42.0135064,1
170310102022004,219,       -87.6713137,        42.0135494,1
170310102022005,205,       -87.6713413,        42.0140966,1
170310102022006,129,       -87.6713520,        42.0146370,1
170310102022007,446,       -87.6713631,        42.0151735,1
170310102022008,84,       -87.6733857,        42.0140568,1
170310102022009,122,       -87.6712938,        42.0129863,1
170310102022010,168,       -87.6735275,        42.0129457,1
170310103001000,266,       -87.6636966,        42.0166476,1
170310103001001,46,       -87.6648458,        42.0166315,1
170310103001002,31,       -87.6656473,        42.0166300,1
170310103001003,99,       -87.6653032,        42.0155563,1
170310103001004,114,       -87.6669447,        42.0157920,1
170310103001005,90,       -87.6668449,        42.0152526,1
170310103001006,158,       -87.6633071,        42.0155821,1
170310103001007,143,       -87.6645487,        42.0155737,1
170310103002000,275,       -87.6639446,        42.0180680,1
170310103002001,86,       -87.6647542,        42.0187435,1
170310103002002,159,       -87.6654847,        42.0187270,1
170310103002003,0,       -87.6662797,        42.0187282,1
170310103002004,149,       -87.6674838,        42.0189606,1
170310103002005,136,       -87.6686298,        42.0189334,1
170310103002006,38,       -87.6697592,        42.0188851,1
170310103002007,0,       -87.6702809,        42.0191638,1
170310103002008,0,       -87.6710315,        42.0187491,1
170310103002009,184,       -87.6651418,        42.0176945,1
170310103002010,90,       -87.6660226,        42.0178786,1
170310103002011,196,       -87.6673075,        42.0179143,1
170310103002012,233,       -87.6673969,        42.0184348,1
170310103002013,145,       -87.6692239,        42.0184230,1
170310103002014,90,       -87.6692735,        42.0178861,1
170310103002015,299,       -87.6692561,        42.0173609,1
170310103002016,93,       -87.6672301,        42.0173978,1
170310103002017,6,       -87.6658202,        42.0173418,1
170310103003000,647,       -87.6630711,        42.0142430,1
170310103003001,68,       -87.6647701,        42.0144742,1
170310103003002,222,       -87.6664129,        42.0147217,1
170310103003003,170,       -87.6659993,        42.0141868,1
170310103003004,53,       -87.6656355,        42.0136481,1
170310103003005,198,       -87.6641522,        42.0133811,1
170310103003006,39,       -87.6625013,        42.0131422,1
170310103003007,253,       -87.6655156,        42.0131340,1
170310103004000,84,       -87.6671404,        42.0168724,1
170310103004001,181,       -87.6691287,        42.0168512,1
170310103004002,29,       -87.6690414,        42.0163653,1
170310103004003,32,       -87.6699815,        42.0162703,1
170310103004004,220,       -87.6696563,        42.0157202,1
170310103004005,0,       -87.6685601,        42.0156933,1
170310103004006,65,       -87.6693478,        42.0152024,1
170310103004007,272,       -87.6691816,        42.0146758,1
170310103004008,45,       -87.6676926,        42.0142652,1
170310103004009,14,       -87.6674324,        42.0144815,1
170310103004010,108,       -87.6691525,        42.0141271,1
170310103004011,109,       -87.6691377,        42.0135843,1
170310103004012,85,       -87.6673100,        42.0132902,1
170310103004013,88,       -87.6691196,        42.0130217,1
170310103004014,128,       -87.6670502,        42.0163416,1
170310104001000,136,       -87.6581167,        42.0071159,1
170310104001001,140,       -87.6611047,        42.0073774,1
170310104001002,444,       -87.6607040,        42.0061540,1
170310104001003,304,       -87.6592780,        42.0061803,1
170310104001004,251,       -87.6582469,        42.0050366,1
170310104001005,4,       -87.6593483,        42.0048715,1
170310104001006,186,       -87.6605194,        42.0050774,1
170310104002000,0,       -87.6615784,        42.0115183,1
170310104002001,142,       -87.6612166,        42.0101048,1
170310104002002,120,       -87.6607442,        42.0096711,1
170310104002003,0,       -87.6594653,        42.0097758,1
170310104002004,202,       -87.6619059,        42.0098034,1
170310104002005,136,       -87.6615038,        42.0085871,1
170310104002006,124,       -87.6606987,        42.0089247,1
170310104002007,109,       -87.6590583,        42.0085331,1
170310104003001,5,       -87.6576812,        42.0023354,1
170310104003002,52,       -87.6584537,        42.0028539,1
170310104003003,268,       -87.6575196,        42.0018291,1
170310104003004,200,       -87.6585591,        42.0034087,1
170310104003005,0,       -87.6561504,        41.9986382,1
170310104003006,812,       -87.6581912,        42.0002184,1
170310104003007,0,       -87.6578958,        41.9985652,1
170310104003008,165,       -87.6603880,        42.0020502,1
170310104003009,218,       -87.6604502,        42.0031066,1
170310104003010,128,       -87.6605084,        42.0041566,1
170310104003011,304,       -87.6588593,        42.0041713,1
170310104003012,20,       -87.6593146,        42.0023162,1
170310104003013,28,       -87.6593088,        42.0018123,1
170310104003014,544,       -87.6601305,        41.9992278,1
170310104003015,0,       -87.6604955,        41.9984100,1
170310105011000,161,       -87.6626939,        42.0097626,1
170310105011001,249,       -87.6644208,        42.0094492,1
170310105011002,172,       -87.6652225,        42.0100512,1
170310105011003,289,       -87.6640232,        42.0088491,1
170310105012000,178,       -87.6635425,        42.0122113,1
170310105012001,145,       -87.6645402,        42.0124831,1
170310105012002,182,       -87.6654889,        42.0124926,1
170310105012003,91,       -87.6654422,        42.0118767,1
170310105012004,200,       -87.6643928,        42.0118870,1
170310105012005,608,       -87.6647060,        42.0112742,1
170310105012006,206,       -87.6630517,        42.0109897,1
170310105012007,218,       -87.6645877,        42.0106655,1
170310105012008,69,       -87.6638820,        42.0100611,1
170310105013000,260,       -87.6622762,        42.0085750,1
170310105013001,119,       -87.6618657,        42.0073614,1
170310105013002,82,       -87.6627256,        42.0076498,1
170310105013003,214,       -87.6639165,        42.0082424,1
170310105013004,130,       -87.6655271,        42.0085280,1
170310105013005,76,       -87.6653486,        42.0073024,1
170310105013006,72,       -87.6646930,        42.0073209,1
170310105013007,164,       -87.6640558,        42.0073402,1
170310105013008,55,       -87.6633754,        42.0073380,1
170310105013009,74,       -87.6626030,        42.0070407,1
170310105013010,77,       -87.6625015,        42.0064374,1
170310105021000,241,       -87.6612336,        42.0040862,1
170310105021001,84,       -87.6626033,        42.0042572,1
170310105021002,62,       -87.6642270,        42.0042351,1
170310105021003,53,       -87.6643827,        42.0038464,1
170310105021004,140,       -87.6653148,        42.0038841,1
170310105021005,135,       -87.6626183,        42.0037832,1
170310105021006,233,       -87.6619537,        42.0032095,1
170310105021007,83,       -87.6642009,        42.0031788,1
170310105021008,81,       -87.6652930,        42.0029401,1
170310105021009,74,       -87.6643595,        42.0026869,1
170310105021010,0,       -87.6634691,        42.0025547,1
170310105021011,0,       -87.6631695,        42.0025806,1
170310105021012,148,       -87.6624458,        42.0027907,1
170310105022000,392,       -87.6614893,        42.0061517,1
170310105022001,227,       -87.6623668,        42.0058087,1
170310105022002,149,       -87.6633320,        42.0061137,1
170310105022003,138,       -87.6640121,        42.0061145,1
170310105022004,96,       -87.6646572,        42.0061009,1
170310105022005,204,       -87.6653098,        42.0061059,1
170310105022006,70,       -87.6645299,        42.0052362,1
170310105022007,149,       -87.6626564,        42.0052645,1
170310105022008,110,       -87.6612463,        42.0050244,1
170310105022009,146,       -87.6626270,        42.0047545,1
170310105022010,86,       -87.6647812,        42.0047830,1
170310105031000,155,       -87.6610093,        41.9995428,1
170310105031001,15,       -87.6616340,        42.0002021,1
170310105031002,73,       -87.6625096,        42.0001823,1
170310105031003,41,       -87.6638045,        42.0002055,1
170310105031004,57,       -87.6645242,        42.0006199,1
170310105031005,101,       -87.6649355,        42.0001579,1
170310105031006,490,       -87.6612224,        41.9984127,1
170310105031007,47,       -87.6616079,        41.9993105,1
170310105031008,66,       -87.6621814,        41.9992567,1
170310105031009,71,       -87.6628033,        41.9992565,1
170310105031010,83,       -87.6634074,        41.9992496,1
170310105031011,84,       -87.6640345,        41.9992464,1
170310105031012,0,       -87.6645987,        41.9992241,1
170310105031013,84,       -87.6652416,        41.9992437,1
170310105031014,47,       -87.6649127,        41.9983391,1
170310105031015,52,       -87.6636987,        41.9983541,1
170310105031016,16,       -87.6624456,        41.9983514,1
170310105032000,0,       -87.6611013,        42.0018001,1
170310105032001,0,       -87.6621249,        42.0021828,1
170310105032002,0,       -87.6623396,        42.0019238,1
170310105032003,74,       -87.6632212,        42.0021556,1
170310105032004,73,       -87.6642429,        42.0021803,1
170310105032005,60,       -87.6647268,        42.0017626,1
170310105032006,169,       -87.6642148,        42.0011250,1
170310105032007,227,       -87.6624223,        42.0011267,1
170310105032008,0,       -87.6612611,        42.0011234,1
170310105032009,105,       -87.6627828,        42.0016545,1
170310105032010,0,       -87.6610540,        42.0006252,1
170310105032011,71,       -87.6624152,        42.0006462,1
170310105032012,29,       -87.6652528,        42.0010994,1
170310106001000,0,       -87.6658185,        42.0072913,1
170310106001001,0,       -87.6661653,        42.0073326,1
170310106001002,0,       -87.6658324,        42.0059970,1
170310106001003,215,       -87.6669580,        42.0063597,1
170310106001004,166,       -87.6669893,        42.0069743,1
170310106001005,94,       -87.6684939,        42.0069441,1
170310106001006,135,       -87.6695904,        42.0072315,1
170310106001007,73,       -87.6694982,        42.0063378,1
170310106001008,104,       -87.6683654,        42.0063256,1
170310106001009,273,       -87.6688757,        42.0057119,1
170310106001010,160,       -87.6668808,        42.0057384,1
170310106001011,82,       -87.6699761,        42.0051469,1
170310106001012,45,       -87.6687674,        42.0051684,1
170310106001013,26,       -87.6675341,        42.0051756,1
170310106001014,78,       -87.6663490,        42.0052121,1
170310106001015,52,       -87.6687473,        42.0042568,1
170310106001016,72,       -87.6696406,        42.0042356,1
170310106001017,45,       -87.6702714,        42.0042371,1
170310106001018,20,       -87.6666287,        42.0042865,1
170310106001019,113,       -87.6660164,        42.0042984,1
170310106001020,91,       -87.6678082,        42.0042589,1
170310106001021,47,       -87.6672332,        42.0042784,1
170310106001022,0,       -87.6658106,        42.0061618,1
170310106002000,0,       -87.6659503,        42.0121685,1
170310106002001,187,       -87.6671018,        42.0124555,1
170310106002002,59,       -87.6691054,        42.0124279,1
170310106002003,64,       -87.6690756,        42.0118111,1
170310106002004,70,       -87.6670578,        42.0118478,1
170310106002005,292,       -87.6690610,        42.0109048,1
170310106002006,180,       -87.6671236,        42.0109325,1
170310106002007,0,       -87.6661504,        42.0109264,1
170310106002008,0,       -87.6660392,        42.0109825,1
170310106003000,163,       -87.6659768,        42.0027110,1
170310106003001,183,       -87.6665811,        42.0026968,1
170310106003002,136,       -87.6671906,        42.0026912,1
170310106003003,157,       -87.6677783,        42.0026756,1
170310106003004,119,       -87.6677378,        42.0008554,1
170310106003005,102,       -87.6671237,        42.0008590,1
170310106003006,149,       -87.6665233,        42.0008687,1
170310106003007,256,       -87.6659084,        42.0008778,1
170310106003008,145,       -87.6658463,        41.9990399,1
170310106003009,213,       -87.6664834,        41.9990468,1
170310106003010,111,       -87.6670762,        41.9992576,1
170310106003011,164,       -87.6676860,        41.9992512,1
170310106003012,0,       -87.6673611,        41.9983421,1
170310106004000,0,       -87.6658767,        42.0096992,1
170310106004001,0,       -87.6662024,        42.0097704,1
170310106004002,118,       -87.6670943,        42.0100190,1
170310106004003,9,       -87.6682616,        42.0099949,1
170310106004004,44,       -87.6691461,        42.0096225,1
170310106004005,0,       -87.6659010,        42.0085181,1
170310106004006,0,       -87.6660781,        42.0084992,1
170310106004007,231,       -87.6670462,        42.0087986,1
170310106004008,101,       -87.6670820,        42.0094116,1
170310106004009,130,       -87.6685536,        42.0087688,1
170310106004010,199,       -87.6696510,        42.0084569,1
170310106004011,145,       -87.6685440,        42.0081676,1
170310106004012,46,       -87.6670267,        42.0081920,1
170310106004013,90,       -87.6670145,        42.0075870,1
170310106004014,343,       -87.6685076,        42.0075513,1
170310107011000,0,       -87.6755471,        42.0083506,1
170310107011001,47,       -87.6769008,        42.0080249,1
170310107011002,196,       -87.6793247,        42.0079858,1
170310107011003,43,       -87.6811584,        42.0082480,1
170310107011004,188,       -87.6794854,        42.0085953,1
170310107011005,41,       -87.6768813,        42.0074183,1
170310107011006,0,       -87.6754895,        42.0071231,1
170310107011007,0,       -87.6755026,        42.0059214,1
170310107011008,63,       -87.6768339,        42.0061989,1
170310107011009,237,       -87.6768503,        42.0068068,1
170310107011010,115,       -87.6790395,        42.0067816,1
170310107011011,94,       -87.6806171,        42.0070513,1
170310107011012,59,       -87.6791757,        42.0073814,1
170310107011013,45,       -87.6768193,        42.0055847,1
170310107011014,112,       -87.6782712,        42.0055663,1
170310107011015,44,       -87.6788824,        42.0061765,1
170310107011016,243,       -87.6800622,        42.0058359,1
170310107011017,109,       -87.6790512,        42.0055608,1
170310107012000,257,       -87.6769123,        42.0119830,1
170310107012001,148,       -87.6792130,        42.0122427,1
170310107012002,120,       -87.6812293,        42.0122083,1
170310107012003,230,       -87.6825217,        42.0118701,1
170310107012004,124,       -87.6767565,        42.0107627,1
170310107012005,125,       -87.6791646,        42.0110198,1
170310107012006,123,       -87.6792069,        42.0116355,1
170310107012007,148,       -87.6811286,        42.0116023,1
170310107012008,36,       -87.6810025,        42.0109943,1
170310107012009,64,       -87.6820911,        42.0106650,1
170310107012010,237,       -87.6767071,        42.0095468,1
170310107012011,46,       -87.6791300,        42.0098084,1
170310107012012,54,       -87.6791519,        42.0104161,1
170310107012013,88,       -87.6808856,        42.0103907,1
170310107012014,22,       -87.6807800,        42.0097902,1
170310107012015,194,       -87.6816744,        42.0094621,1
170310107012016,41,       -87.6806486,        42.0091775,1
170310107012017,68,       -87.6791220,        42.0092050,1
170310107012018,103,       -87.6769062,        42.0086246,1
170310107021000,176,       -87.6712310,        42.0111649,1
170310107021001,132,       -87.6729508,        42.0111398,1
170310107021002,10,       -87.6739511,        42.0108213,1
170310107021003,84,       -87.6748527,        42.0107790,1
170310107021004,70,       -87.6728986,        42.0105363,1
170310107021005,223,       -87.6712121,        42.0105563,1
170310107021006,295,       -87.6710007,        42.0097875,1
170310107021007,81,       -87.6727973,        42.0099171,1
170310107021008,22,       -87.6736976,        42.0096060,1
170310107021009,11,       -87.6744823,        42.0095627,1
170310107021010,13,       -87.6750672,        42.0095687,1
170310107021011,207,       -87.6727490,        42.0093230,1
170310107021012,248,       -87.6715768,        42.0093345,1
170310107022000,257,       -87.6704374,        42.0084313,1
170310107022001,123,       -87.6715335,        42.0087171,1
170310107022002,2,       -87.6726222,        42.0084300,1
170310107022003,78,       -87.6734151,        42.0083932,1
170310107022004,89,       -87.6742318,        42.0083769,1
170310107022005,0,       -87.6750377,        42.0086010,1
170310107022006,6,       -87.6749416,        42.0079964,1
170310107022007,41,       -87.6748519,        42.0074396,1
170310107022008,282,       -87.6715402,        42.0081237,1
170310107022009,204,       -87.6722040,        42.0074994,1
170310107023000,83,       -87.6704127,        42.0072245,1
170310107023001,337,       -87.6721256,        42.0068896,1
170310107023002,66,       -87.6739344,        42.0071569,1
170310107023003,107,       -87.6747937,        42.0068441,1
170310107023004,103,       -87.6746920,        42.0062265,1
170310107023005,7,       -87.6736672,        42.0059417,1
170310107023006,265,       -87.6720478,        42.0062812,1
170310107023007,158,       -87.6703693,        42.0059966,1
170310107023008,416,       -87.6719645,        42.0056674,1
170310107023009,69,       -87.6746228,        42.0056180,1
170310107024000,235,       -87.6712670,        42.0123820,1
170310107024001,120,       -87.6730669,        42.0123562,1
170310107024002,105,       -87.6741364,        42.0120309,1
170310107024003,63,       -87.6750793,        42.0119907,1
170310107024004,201,       -87.6712554,        42.0117731,1
170310107024005,154,       -87.6729974,        42.0117404,1
170310201001000,146,       -87.6878384,        42.0165230,2
170310201001001,117,       -87.6885202,        42.0165359,2
170310201001002,168,       -87.6891894,        42.0165384,2
170310201001003,136,       -87.6898632,        42.0165450,2
170310201001004,103,       -87.6898782,        42.0148770,2
170310201001005,69,       -87.6892090,        42.0148718,2
170310201001006,13,       -87.6883302,        42.0147320,2
170310201001007,24,       -87.6878853,        42.0152299,2
170310201001008,112,       -87.6871868,        42.0148387,2
170310201001009,69,       -87.6865279,        42.0148339,2
170310201001010,55,       -87.6858692,        42.0148176,2
170310201001011,86,       -87.6859135,        42.0134629,2
170310201001012,140,       -87.6865344,        42.0134557,2
170310201001013,54,       -87.6872167,        42.0134697,2
170310201001014,97,       -87.6878866,        42.0134766,2
170310201001015,86,       -87.6885652,        42.0134875,2
170310201001016,94,       -87.6892235,        42.0134887,2
170310201001017,80,       -87.6899085,        42.0134965,2
170310201001018,185,       -87.6895668,        42.0125763,2
170310201001019,39,       -87.6882058,        42.0125542,2
170310201001020,87,       -87.6868886,        42.0125538,2
170310201001021,49,       -87.6856026,        42.0125393,2
170310201001022,87,       -87.6852648,        42.0134368,2
170310201001023,126,       -87.6846102,        42.0133971,2
170310201001024,12,       -87.6847469,        42.0143322,2
170310201001025,179,       -87.6839672,        42.0129228,2
170310201002000,0,       -87.6849475,        42.0191626,2
170310201002001,1115,       -87.6858197,        42.0169884,2
170310201002002,0,       -87.6871372,        42.0193191,2
170310201002003,12,       -87.6883539,        42.0193244,2
170310201002004,11,       -87.6895725,        42.0193323,2
170310201002005,0,       -87.6898844,        42.0182882,2
170310201002006,143,       -87.6892829,        42.0182853,2
170310201002007,137,       -87.6886660,        42.0182814,2
170310201002008,134,       -87.6880559,        42.0182724,2
170310202001000,0,       -87.6999520,        42.0152348,2
170310202001001,52,       -87.7011566,        42.0154491,2
170310202001002,51,       -87.7031978,        42.0153944,2
170310202001003,50,       -87.7055697,        42.0153454,2
170310202001004,57,       -87.7032116,        42.0149444,2
170310202001005,46,       -87.7011517,        42.0149870,2
170310202001006,46,       -87.7011636,        42.0145359,2
170310202001007,40,       -87.7031995,        42.0144764,2
170310202001008,43,       -87.7055894,        42.0144386,2
170310202001009,64,       -87.7055678,        42.0148867,2
170310202001010,270,       -87.7078487,        42.0136534,2
170310202001011,45,       -87.7056140,        42.0126160,2
170310202001012,527,       -87.7022836,        42.0128927,2
170310202001013,31,       -87.7011750,        42.0140819,2
170310202001014,17,       -87.7000050,        42.0143409,2
170310202001015,30,       -87.6999967,        42.0134228,2
170310202001016,15,       -87.7000591,        42.0127660,2
170310202001017,54,       -87.7055948,        42.0139814,2
170310202001018,73,       -87.7032266,        42.0140311,2
170310202001019,46,       -87.7056222,        42.0130779,2
170310202001020,43,       -87.7056061,        42.0135273,2
170310202001021,78,       -87.7056303,        42.0121615,2
170310202002000,51,       -87.6905527,        42.0163620,2
170310202002001,108,       -87.6917452,        42.0165682,2
170310202002002,85,       -87.6937426,        42.0165109,2
170310202002003,16,       -87.6952155,        42.0162502,2
170310202002004,16,       -87.6957995,        42.0162342,2
170310202002005,28,       -87.6963878,        42.0162189,2
170310202002006,18,       -87.6970069,        42.0162216,2
170310202002007,525,       -87.6936556,        42.0140799,2
170310202002008,46,       -87.6937403,        42.0155960,2
170310202002009,104,       -87.6917545,        42.0154624,2
170310202002010,90,       -87.6961448,        42.0128207,2
170310202002011,47,       -87.6937492,        42.0160571,2
170310202002012,33,       -87.6917201,        42.0160989,2
170310202002013,160,       -87.6939117,        42.0125127,2
170310202002014,66,       -87.6961633,        42.0123731,2
170310202003000,55,       -87.7007682,        42.0190705,2
170310202003001,61,       -87.7031238,        42.0190220,2
170310202003002,66,       -87.7054680,        42.0189723,2
170310202003003,53,       -87.7076481,        42.0189244,2
170310202003004,52,       -87.7076976,        42.0184829,2
170310202003005,66,       -87.7054979,        42.0185222,2
170310202003006,50,       -87.7031478,        42.0185739,2
170310202003007,74,       -87.7007897,        42.0186217,2
170310202003008,54,       -87.7031343,        42.0181113,2
170310202003009,53,       -87.7055015,        42.0180655,2
170310202003010,25,       -87.7073663,        42.0180211,2
170310202003011,26,       -87.7083684,        42.0177712,2
170310202003012,33,       -87.6999103,        42.0179564,2
170310202003013,55,       -87.7010904,        42.0181592,2
170310202003014,40,       -87.7011035,        42.0177066,2
170310202003015,41,       -87.7031565,        42.0176634,2
170310202003016,64,       -87.7055205,        42.0176160,2
170310202003017,30,       -87.7073864,        42.0175723,2
170310202003018,35,       -87.7073975,        42.0171180,2
170310202003019,43,       -87.7055158,        42.0171570,2
170310202003020,45,       -87.7031597,        42.0172066,2
170310202003021,31,       -87.7011020,        42.0172493,2
170310202003022,23,       -87.6999366,        42.0170546,2
170310202003023,52,       -87.7031706,        42.0167544,2
170310202003024,76,       -87.7055353,        42.0167043,2
170310202003025,27,       -87.7074156,        42.0166685,2
170310202003026,29,       -87.7084472,        42.0166613,2
170310202003027,17,       -87.7083750,        42.0170856,2
170310202003028,31,       -87.7011111,        42.0167954,2
170310202003029,25,       -87.7011281,        42.0163503,2
170310202003030,43,       -87.7031825,        42.0163027,2
170310202003031,61,       -87.7055459,        42.0162508,2
170310202003032,45,       -87.7074083,        42.0162066,2
170310202003033,8,       -87.7084161,        42.0161885,2
170310202003034,15,       -87.7084268,        42.0157319,2
170310202003035,34,       -87.7074220,        42.0157528,2
170310202003036,45,       -87.7055514,        42.0157952,2
170310202003037,47,       -87.7031906,        42.0158493,2
170310202003038,29,       -87.7011284,        42.0158912,2
170310202003039,19,       -87.6999444,        42.0161451,2
170310202004000,109,       -87.6913623,        42.0186535,2
170310202004001,246,       -87.6935112,        42.0185707,2
170310202004002,72,       -87.6940853,        42.0187606,2
170310202004003,80,       -87.6940948,        42.0192176,2
170310202004004,22,       -87.6951672,        42.0180450,2
170310202004005,13,       -87.6952415,        42.0187643,2
170310202004006,52,       -87.6960465,        42.0191713,2
170310202004007,0,       -87.6984168,        42.0191268,2
170310202004008,41,       -87.6984227,        42.0186741,2
170310202004009,34,       -87.6963712,        42.0187154,2
170310202004010,47,       -87.6963844,        42.0182645,2
170310202004011,31,       -87.6981255,        42.0182279,2
170310202004012,32,       -87.6993168,        42.0179783,2
170310202004013,30,       -87.6981442,        42.0177781,2
170310202004014,21,       -87.6963955,        42.0178117,2
170310202004015,39,       -87.6952263,        42.0171677,2
170310202004016,32,       -87.6946195,        42.0171710,2
170310202004017,145,       -87.6934378,        42.0178834,2
170310202004018,23,       -87.6934134,        42.0171833,2
170310202004019,23,       -87.6928401,        42.0172044,2
170310202004020,17,       -87.6922532,        42.0172170,2
170310202004021,82,       -87.6916886,        42.0172426,2
170310202004022,90,       -87.6910672,        42.0172384,2
170310202004023,0,       -87.6904756,        42.0172524,2
170310202004024,16,       -87.6960854,        42.0173630,2
170310202004025,16,       -87.6969554,        42.0171094,2
170310202004026,17,       -87.6975576,        42.0171036,2
170310202004027,25,       -87.6984458,        42.0173109,2
170310202004028,27,       -87.6993290,        42.0170684,2
170310202004029,24,       -87.6984706,        42.0168605,2
170310202004030,28,       -87.6987713,        42.0161725,2
170310202004031,23,       -87.6993848,        42.0161701,2
