,Other Health Providers,Federally Qualified Health Centers,All Free Health Clinics,Hospitals,School-Based Health Centers
170310103001000,0.0,5.0,0.0,0.0,0.0
170310103001001,0.0,5.0,0.0,0.0,0.0
170310103001002,0.0,5.0,0.0,1.0,1.0
170310103001003,1.0,5.0,0.0,0.0,1.0
170310103001004,0.0,5.0,0.0,0.0,1.0
170310103001005,1.0,5.0,0.0,0.0,1.0
170310103001006,0.0,5.0,0.0,0.0,0.0
170310103001007,0.0,5.0,0.0,0.0,1.0
170310103002000,0.0,4.0,0.0,1.0,0.0
170310103002001,0.0,4.0,0.0,1.0,0.0
170310103002002,0.0,4.0,0.0,1.0,0.0
170310103002003,0.0,4.0,0.0,1.0,0.0
170310103002004,0.0,4.0,0.0,1.0,0.0
170310103002005,0.0,4.0,0.0,1.0,1.0
170310103002006,0.0,4.0,0.0,1.0,1.0
170310103002007,0.0,4.0,0.0,1.0,1.0
170310103002008,1.0,4.0,0.0,1.0,1.0
170310103002009,0.0,5.0,0.0,1.0,0.0
170310103002010,0.0,4.0,0.0,1.0,1.0
170310103002011,0.0,4.0,0.0,1.0,0.0
170310103002012,0.0,4.0,0.0,1.0,0.0
170310103002013,0.0,4.0,0.0,1.0,1.0
170310103002014,0.0,4.0,0.0,1.0,1.0
170310103002015,1.0,4.0,0.0,1.0,1.0
170310103002016,0.0,4.0,0.0,1.0,0.0
170310103002017,0.0,5.0,0.0,1.0,0.0
170310103003000,0.0,5.0,0.0,0.0,1.0
170310103003001,1.0,5.0,0.0,0.0,1.0
170310103003002,1.0,5.0,0.0,0.0,1.0
170310103003003,1.0,5.0,0.0,0.0,1.0
170310103003004,1.0,5.0,0.0,0.0,1.0
170310103003005,1.0,5.0,0.0,0.0,1.0
170310103003006,1.0,5.0,0.0,0.0,1.0
170310103003007,1.0,5.0,0.0,0.0,1.0
170310103004000,0.0,4.0,0.0,1.0,1.0
170310103004001,1.0,4.0,0.0,1.0,1.0
170310103004002,1.0,5.0,0.0,1.0,1.0
170310103004003,1.0,4.0,0.0,1.0,1.0
170310103004004,1.0,5.0,0.0,1.0,1.0
170310103004005,1.0,5.0,0.0,1.0,1.0
170310103004006,1.0,5.0,0.0,1.0,1.0
170310103004007,1.0,5.0,0.0,1.0,1.0
170310103004008,1.0,5.0,0.0,1.0,1.0
170310103004009,1.0,5.0,0.0,1.0,1.0
170310103004010,1.0,5.0,0.0,0.0,1.0
170310103004011,1.0,5.0,0.0,0.0,1.0
170310103004012,1.0,5.0,0.0,0.0,1.0
170310103004013,1.0,5.0,0.0,0.0,1.0
170310103004014,0.0,5.0,0.0,1.0,1.0
170310104001000,1.0,4.0,0.0,1.0,1.0
170310104001001,1.0,4.0,0.0,1.0,1.0
170310104001002,1.0,4.0,0.0,1.0,1.0
170310104001003,1.0,4.0,0.0,1.0,1.0
170310104001004,1.0,3.0,0.0,1.0,1.0
170310104001005,1.0,3.0,0.0,1.0,1.0
170310104001006,1.0,4.0,0.0,1.0,1.0
170310104002000,1.0,5.0,0.0,1.0,1.0
170310104002001,1.0,5.0,0.0,1.0,1.0
170310104002002,1.0,5.0,0.0,1.0,1.0
170310104002003,1.0,5.0,0.0,1.0,1.0
170310104002004,1.0,5.0,0.0,1.0,1.0
170310104002005,1.0,5.0,0.0,1.0,1.0
170310104002006,1.0,5.0,0.0,1.0,1.0
170310104002007,1.0,4.0,0.0,1.0,1.0
170310104003001,1.0,2.0,0.0,1.0,1.0
170310104003002,1.0,3.0,0.0,1.0,2.0
170310104003003,1.0,2.0,0.0,1.0,2.0
170310104003004,1.0,2.0,0.0,1.0,1.0
170310104003005,1.0,2.0,0.0,1.0,2.0
170310104003006,1.0,2.0,0.0,1.0,2.0
170310104003007,1.0,2.0,0.0,1.0,2.0
170310104003008,1.0,3.0,0.0,1.0,2.0
170310104003009,1.0,3.0,0.0,1.0,2.0
170310104003010,1.0,3.0,0.0,1.0,1.0
170310104003011,1.0,3.0,0.0,1.0,1.0
170310104003012,1.0,2.0,0.0,1.0,2.0
170310104003013,1.0,2.0,0.0,1.0,2.0
170310104003014,1.0,2.0,0.0,1.0,2.0
170310104003015,1.0,2.0,0.0,1.0,2.0
170310105011000,1.0,5.0,0.0,1.0,1.0
170310105011001,1.0,5.0,0.0,0.0,1.0
170310105011002,1.0,5.0,0.0,0.0,1.0
170310105011003,1.0,5.0,0.0,1.0,1.0
170310105012000,1.0,5.0,0.0,0.0,1.0
170310105012001,1.0,5.0,0.0,0.0,1.0
170310105012002,1.0,5.0,0.0,0.0,1.0
170310105012003,1.0,5.0,0.0,0.0,1.0
170310105012004,1.0,5.0,0.0,0.0,1.0
170310105012005,1.0,5.0,0.0,0.0,1.0
170310105012006,1.0,5.0,0.0,1.0,1.0
170310105012007,1.0,5.0,0.0,0.0,1.0
170310105012008,1.0,5.0,0.0,1.0,1.0
170310105013000,1.0,5.0,0.0,1.0,1.0
170310105013001,1.0,4.0,0.0,1.0,1.0
170310105013002,1.0,5.0,0.0,1.0,1.0
170310105013003,1.0,5.0,0.0,1.0,1.0
170310105013004,1.0,5.0,0.0,1.0,1.0
170310105013005,1.0,5.0,0.0,1.0,1.0
170310105013006,1.0,5.0,0.0,1.0,1.0
170310105013007,1.0,5.0,0.0,1.0,1.0
170310105013008,1.0,5.0,0.0,1.0,1.0
170310105013009,1.0,5.0,0.0,1.0,1.0
170310105013010,1.0,4.0,0.0,1.0,1.0
170310105021000,1.0,4.0,0.0,1.0,2.0
170310105021001,1.0,3.0,0.0,1.0,2.0
170310105021002,1.0,3.0,0.0,1.0,2.0
170310105021003,1.0,3.0,0.0,1.0,2.0
170310105021004,1.0,5.0,0.0,1.0,2.0
170310105021005,1.0,3.0,0.0,1.0,2.0
170310105021006,1.0,3.0,0.0,1.0,2.0
170310105021007,1.0,4.0,0.0,1.0,2.0
170310105021008,1.0,4.0,0.0,1.0,2.0
170310105021009,1.0,3.0,0.0,1.0,2.0
170310105021010,1.0,3.0,0.0,1.0,2.0
170310105021011,1.0,3.0,0.0,1.0,2.0
170310105021012,1.0,3.0,0.0,1.0,2.0
170310105022000,1.0,4.0,0.0,1.0,1.0
170310105022001,1.0,4.0,0.0,1.0,1.0
170310105022002,1.0,4.0,0.0,1.0,1.0
170310105022003,1.0,5.0,0.0,1.0,2.0
